county,year,table,sector,description,direct,indirect,induced,total
Alcona,2001,Output,0,Total,-37988.71488,-1971.509927,-2348.446972,-42308.67178
Alcona,2001,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-0.817474724,-7.505555075,-8.323029799
Alcona,2001,Output,20,21 Mining,0,-2.165442809,-0.887097755,-3.052540564
Alcona,2001,Output,41,22 Utilities,0,0,0,0
Alcona,2001,Output,52,23 Construction,0,-19.85064152,-7.553357841,-27.40399936
Alcona,2001,Output,65,31-33 Manufacturing,0,-7.037739979,-3.787451314,-10.82519129
Alcona,2001,Output,395,42 Wholesale Trade,-37988.71488,-11.8649522,-4.420778325,-38005.00061
Alcona,2001,Output,396,44-45 Retail trade,0,-13.44580857,-270.4313314,-283.8771399
Alcona,2001,Output,408,48-49 Transportation & Warehousing,0,-78.04136526,-20.72104551,-98.76241077
Alcona,2001,Output,417,51-56 Professional Services,0,-1491.125967,-1616.54382,-3107.669788
Alcona,2001,Output,472,"61-72 Educational, Health, Recreation Service",0,-102.1139101,-409.180587,-511.2944971
Alcona,2001,Output,518,92 Government & non NAICs,0,-245.0466251,-7.415947602,-252.4625727
Allegan,2001,Output,0,Total,-1670156.291,-38688.67568,-77018.5835,-1785863.55
Allegan,2001,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-20.16046476,-1081.517374,-1101.677839
Allegan,2001,Output,20,21 Mining,0,-16.59025456,-36.84355274,-53.4338073
Allegan,2001,Output,41,22 Utilities,0,-2958.070113,-2385.563815,-5343.633928
Allegan,2001,Output,52,23 Construction,0,-105.8620673,-57.16829796,-163.0303653
Allegan,2001,Output,65,31-33 Manufacturing,0,-1372.839524,-3378.617755,-4751.457279
Allegan,2001,Output,395,42 Wholesale Trade,-1670156.291,-1867.142403,-831.3776314,-1672854.811
Allegan,2001,Output,396,44-45 Retail trade,0,-87.16617442,-1916.353883,-2003.520058
Allegan,2001,Output,408,48-49 Transportation & Warehousing,0,-5671.384042,-1527.04061,-7198.424652
Allegan,2001,Output,417,51-56 Professional Services,0,-24778.56053,-60240.79638,-85019.35691
Allegan,2001,Output,472,"61-72 Educational, Health, Recreation Service",0,-1357.286283,-5464.570808,-6821.857091
Allegan,2001,Output,518,92 Government & non NAICs,0,-453.6138257,-98.73339399,-552.3472197
Alpena,2001,Output,0,Total,-542860.1143,-70636.48515,-54908.40964,-668405.0091
Alpena,2001,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-21.09415195,-150.3614942,-171.4556462
Alpena,2001,Output,20,21 Mining,0,-34.65552446,-62.20387438,-96.85939884
Alpena,2001,Output,41,22 Utilities,0,-5578.126872,-3975.592541,-9553.719413
Alpena,2001,Output,52,23 Construction,0,-263.7826788,-111.5436435,-375.3263223
Alpena,2001,Output,65,31-33 Manufacturing,0,-576.4787252,-500.2853777,-1076.764103
Alpena,2001,Output,395,42 Wholesale Trade,-542860.1143,-2315.659937,-1037.503562,-546213.2778
Alpena,2001,Output,396,44-45 Retail trade,0,-238.7233265,-4848.901083,-5087.62441
Alpena,2001,Output,408,48-49 Transportation & Warehousing,0,-9904.732311,-1288.192594,-11192.9249
Alpena,2001,Output,417,51-56 Professional Services,0,-47327.65643,-32695.84262,-80023.49905
Alpena,2001,Output,472,"61-72 Educational, Health, Recreation Service",0,-2880.775046,-10169.52297,-13050.29801
Alpena,2001,Output,518,92 Government & non NAICs,0,-1494.800153,-68.45987406,-1563.260027
Antrim,2001,Output,0,Total,-295593.5911,-21604.4451,-21558.09821,-338756.1344
Antrim,2001,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-8.242399887,-279.1048626,-287.3472625
Antrim,2001,Output,20,21 Mining,0,-34.33983691,-40.13034914,-74.47018606
Antrim,2001,Output,41,22 Utilities,0,0,0,0
Antrim,2001,Output,52,23 Construction,0,-50.47894496,-25.07732396,-75.55626891
Antrim,2001,Output,65,31-33 Manufacturing,0,-276.4035224,-68.5329556,-344.936478
Antrim,2001,Output,395,42 Wholesale Trade,-295593.5911,-1104.2376,-594.649101,-297292.4778
Antrim,2001,Output,396,44-45 Retail trade,0,-58.71251344,-1110.590674,-1169.303188
Antrim,2001,Output,408,48-49 Transportation & Warehousing,0,-1358.549843,-283.6916804,-1642.241524
