county,year,industry,description,notused1,notused2,employment,laborinc,output
Alcona,2014,441,Owner-occupied dwellings,,,0,0,41528320
Alcona,2014,440,Real estate,,,254,1400644,20528580
Alcona,2014,475,Offices of physicians,,,143,10693350,16980270
Alcona,2014,47,Electric power generation - Biomass,,,15,1256283,16911320
Alcona,2014,134,Sawmills,,,57,1357502,13668850
Alcona,2014,279,"Special tool, die, jig, and fixture manufacturing",,,75,6043680,13247640
Alcona,2014,61,Construction of other new residential structures,,,47,1255685,12972200
Alcona,2014,446,Lessors of nonfinancial intangible assets,,,10,253298,12624070
Alcona,2014,77,Chocolate and confectionery manufacturing from cacao beans,,,22,302070,12069960
Alcona,2014,20,Extraction of natural gas and crude petroleum,,,72,102692,11604300
Allegan,2014,174,Pharmaceutical preparation manufacturing,,,2774,261842000,3262593000
Allegan,2014,375,"Office furniture, except wood, manufacturing",,,1921,140692400,790714300
Allegan,2014,89,"Animal, except poultry, slaughtering",,,1034,41500540,613556000
Allegan,2014,156,Petroleum refineries,,,50,8499513,444991300
Allegan,2014,441,Owner-occupied dwellings,,,0,0,444350700
Allegan,2014,395,Wholesale trade,,,2206,112416700,419980500
Allegan,2014,440,Real estate,,,2986,18547350,278760400
Allegan,2014,526,Other local government enterprises,,,1088,50856780,245883000
Allegan,2014,411,Truck transportation,,,1439,74218430,218043000
Allegan,2014,179,Soap and other detergent manufacturing,,,221,23470810,213053900
Alpena,2014,205,Cement manufacturing,,,270,27482070,155974900
Alpena,2014,262,Farm machinery and equipment manufacturing,,,177,13709430,109716800
Alpena,2014,441,Owner-occupied dwellings,,,0,0,109402000
Alpena,2014,138,Reconstituted wood product manufacturing,,,213,13762600,106053000
Alpena,2014,395,Wholesale trade,,,478,24839220,92497420
Alpena,2014,533,"* Employment and payroll of local govt, non-education",,,1366,77787570,87632200
Alpena,2014,291,Conveyor and conveying equipment manufacturing,,,287,18357810,73392550
Alpena,2014,534,"* Employment and payroll of local govt, education",,,900,60109250,67659500
Alpena,2014,440,Real estate,,,472,4189553,57060430
Alpena,2014,405,Retail - General merchandise stores,,,468,13102030,35467380
Antrim,2014,81,Canned fruits and vegetables manufacturing,,,205,6245038,97128350
Antrim,2014,441,Owner-occupied dwellings,,,0,0,93667490
Antrim,2014,440,Real estate,,,674,4474253,70979060
Antrim,2014,61,Construction of other new residential structures,,,183,4322071,49501510
Antrim,2014,431,"News syndicates, libraries, archives and all other information services",,,46,925406,35418090
Antrim,2014,167,Synthetic rubber manufacturing,,,32,1654581,30770130
Antrim,2014,499,"Hotels and motels, including casino hotels",,,285,6539380,27977190
Antrim,2014,279,"Special tool, die, jig, and fixture manufacturing",,,175,11018760,27459490
Antrim,2014,534,"* Employment and payroll of local govt, education",,,411,24309750,27363270
Antrim,2014,533,"* Employment and payroll of local govt, non-education",,,512,23845880,26863770
Arenac,2014,441,Owner-occupied dwellings,,,0,0,55705260
Arenac,2014,293,"Industrial truck, trailer, and stacker manufacturing",,,135,6585830,53928770
Arenac,2014,395,Wholesale trade,,,309,6845470,44997960
Arenac,2014,188,Plastics packaging materials and unlaminated film and sheet manufacturing,,,99,3970937,37527510
Arenac,2014,20,Extraction of natural gas and crude petroleum,,,230,937103,37491020
Arenac,2014,411,Truck transportation,,,241,11308500,35649770
Arenac,2014,428,Wireless telecommunications carriers (except satellite),,,16,843858,29609320
Arenac,2014,291,Conveyor and conveying equipment manufacturing,,,113,6811486,28341230
Arenac,2014,61,Construction of other new residential structures,,,103,2097197,27410100
Arenac,2014,440,Real estate,,,347,1122736,25906290
Barry,2014,331,Other major household appliance manufacturing,,,1097,149766800,823346500
Barry,2014,441,Owner-occupied dwellings,,,0,0,237375800
Barry,2014,353,Motor vehicle transmission and power train parts manufacturing,,,307,22703830,182664200
Barry,2014,437,Insurance carriers,,,416,28745730,168095400
Barry,2014,350,Motor vehicle gasoline engine and engine parts manufacturing,,,224,16107220,139550200
