county,year,table,sector,description,direct,indirect,induced,total
Alcona,2014,Output,0,Total,-70669.656000000003,-12483.149232482339,-3346.3908257403705,-86499.196058222689
Alcona,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-3.1140231437622266,-9.0008495335434073,-12.114872677305634
Alcona,2014,Output,20,21 Mining,0,-41.8039519359832,-8.8263335138171861,-50.630285449800397
Alcona,2014,Output,41,22 Utilities,0,0,0,0
Alcona,2014,Output,52,23 Construction,0,-578.45009860770153,-69.729296006369495,-648.17939461407104
Alcona,2014,Output,65,31-33 Manufacturing,0,-38.301288627188391,-2.5602533532605314,-40.861541980448926
Alcona,2014,Output,395,42 Wholesale Trade,-70669.656000000003,-1041.3499090862315,-117.25388507084159,-71828.259794157071
Alcona,2014,Output,396,44-45 Retail trade,0,-177.25188425838377,-454.88470925056203,-632.13659350894579
Alcona,2014,Output,408,48-49 Transportation & Warehousing,0,-1484.9479803866843,-93.945113808708442,-1578.8930941953927
Alcona,2014,Output,417,51-56 Professional Services,0,-6836.8234287256819,-1533.5997815665646,-8370.4232102922451
Alcona,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-1302.8763813675964,-1044.3242705517819,-2347.2006519193783
Alcona,2014,Output,520,92 Government & non NAICs,0,-978.23028634312755,-12.266333084921433,-990.49661942804903
Allegan,2014,Output,0,Total,-1440262.8999999999,-282890.806998057,-199278.22417102949,-1922431.9311690861
Allegan,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-71.131903476090088,-1129.3799812152874,-1200.5118846913777
Allegan,2014,Output,20,21 Mining,0,-561.52952163176997,-382.86017206981052,-944.38969370158065
Allegan,2014,Output,41,22 Utilities,0,-6679.7036645173257,-3069.4067294674833,-9749.1103939848108
Allegan,2014,Output,52,23 Construction,0,-9868.1703661421307,-4993.4435036638497,-14861.61386980598
Allegan,2014,Output,65,31-33 Manufacturing,0,-9254.7849269630933,-7255.731255971953,-16510.516182935044
Allegan,2014,Output,395,42 Wholesale Trade,-1440262.8999999999,-19006.212087523891,-6547.5399709605426,-1465816.6520584843
Allegan,2014,Output,396,44-45 Retail trade,0,-2958.1547137261637,-22442.379696359912,-25400.534410086078
Allegan,2014,Output,408,48-49 Transportation & Warehousing,0,-31536.524778730207,-4462.1279923497796,-35998.652771079986
Allegan,2014,Output,417,51-56 Professional Services,0,-155400.10079027302,-87839.153277912657,-243239.25406818578
Allegan,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-25163.281907702556,-53523.085310661998,-78686.367218364539
Allegan,2014,Output,520,92 Government & non NAICs,0,-22391.212337370729,-7633.1162803962125,-30024.32861776694
Alpena,2014,Output,0,Total,-508255.63,-124478.58486795976,-81832.575417734464,-714566.7902856943
Alpena,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-20.100331524575545,-156.39892680670681,-176.49925833128233
Alpena,2014,Output,20,21 Mining,0,-457.53774567635219,-195.52960824204186,-653.06735391839402
Alpena,2014,Output,41,22 Utilities,0,-3052.582113568561,-1525.3264445937389,-4577.9085581623003
Alpena,2014,Output,52,23 Construction,0,-3025.3812144755484,-1694.1342488993851,-4719.5154633749335
Alpena,2014,Output,65,31-33 Manufacturing,0,-587.94843308633256,-363.76192744684391,-951.71036053317641
Alpena,2014,Output,395,42 Wholesale Trade,-508255.63,-12760.060302451835,-4626.6362966941997,-525642.32659914601
Alpena,2014,Output,396,44-45 Retail trade,0,-1297.137273882227,-11891.858039160557,-13188.995313042786
Alpena,2014,Output,408,48-49 Transportation & Warehousing,0,-19750.068830051965,-1925.099176917885,-21675.168006969852
Alpena,2014,Output,417,51-56 Professional Services,0,-66103.813443863124,-34195.250477431968,-100299.06392129511
Alpena,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-9965.0376762660144,-23243.965545051717,-33209.003221317733
Alpena,2014,Output,520,92 Government & non NAICs,0,-7458.9175031132108,-2014.6147264894255,-9473.532229602637
Antrim,2014,Output,0,Total,-137567.56,-28521.364478276551,-11517.509710968086,-177606.43418924461
Antrim,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-12.448976537532403,-77.088762593705738,-89.537739131238141
Antrim,2014,Output,20,21 Mining,0,-91.685087737838529,-28.538978984425615,-120.22406672226416
Antrim,2014,Output,41,22 Utilities,0,-30.097863814970623,-28.796610176004769,-58.894473990975392
Antrim,2014,Output,52,23 Construction,0,-1276.791542444518,-337.70316507343694,-1614.4947075179548
Antrim,2014,Output,65,31-33 Manufacturing,0,-170.79721162409751,-62.334800684534002,-233.13201230863152
Antrim,2014,Output,395,42 Wholesale Trade,-137567.56,-1391.483243227005,-296.70974836359284,-139255.75299159059
Antrim,2014,Output,396,44-45 Retail trade,0,-340.20154930181445,-1369.5202487631027,-1709.721798064917
Antrim,2014,Output,408,48-49 Transportation & Warehousing,0,-3663.5510645134796,-215.52574846851016,-3879.0768129819899
Antrim,2014,Output,417,51-56 Professional Services,0,-17316.287985947816,-5964.95738729611,-23281.245373243928
Antrim,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-2585.0962720755256,-3101.4765018057897,-5686.572773881313
Antrim,2014,Output,520,92 Government & non NAICs,0,-1642.9236810519547,-34.857758758874191,-1677.7814398108289
Arenac,2014,Output,0,Total,-240132.63000000001,-53368.474365299197,-22569.522953401367,-316070.62731870054
Arenac,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-14.42541055509518,-84.399448821965649,-98.824859377060832
Arenac,2014,Output,20,21 Mining,0,-258.71599109281732,-87.872069812959396,-346.58806090577673
Arenac,2014,Output,41,22 Utilities,0,-230.85335951065645,-182.5307864315688,-413.38414594222525
Arenac,2014,Output,52,23 Construction,0,-1687.0229500408591,-425.77550129018528,-2112.7984513310444
Arenac,2014,Output,65,31-33 Manufacturing,0,-102.38168399776006,-16.26775870024484,-118.64944269800492
Arenac,2014,Output,395,42 Wholesale Trade,-240132.63000000001,-7419.640616769786,-1319.8595268771019,-248872.13014364688
Arenac,2014,Output,396,44-45 Retail trade,0,-599.33322023888627,-2344.2173558247,-2943.550576063586
Arenac,2014,Output,408,48-49 Transportation & Warehousing,0,-8102.3570065751501,-596.37136045461205,-8698.728367029762
Arenac,2014,Output,417,51-56 Professional Services,0,-26377.094582494141,-9485.9391793993036,-35863.033761893443
Arenac,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-5565.2645852853857,-7952.5170576423452,-13517.781642927734
Arenac,2014,Output,520,92 Government & non NAICs,0,-3011.3849587386567,-73.772908146379805,-3085.1578668850366
Barry,2014,Output,0,Total,-374218.15999999997,-92333.270892663597,-48941.026877762924,-515492.45777042647
Barry,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-30.158795396882155,-110.49382935329859,-140.65262475018076
Barry,2014,Output,20,21 Mining,0,-99.468586219267607,-42.104615402078771,-141.57320162134639
Barry,2014,Output,41,22 Utilities,0,-1813.3655773527546,-682.00291661385165,-2495.3684939666064
Barry,2014,Output,52,23 Construction,0,-3065.5056661385879,-942.33076245889526,-4007.8364285974831
Barry,2014,Output,65,31-33 Manufacturing,0,-380.53453534704431,-182.30266905591557,-562.83720440295986
Barry,2014,Output,395,42 Wholesale Trade,-374218.15999999997,-3891.667082777014,-1148.6847824897031,-379258.51186526672
Barry,2014,Output,396,44-45 Retail trade,0,-842.39611781606322,-4637.8602438466605,-5480.256361662724
Barry,2014,Output,408,48-49 Transportation & Warehousing,0,-8427.9289060876617,-501.20479520383128,-8929.1337012914919
Barry,2014,Output,417,51-56 Professional Services,0,-60782.144976058567,-26080.680998498145,-86862.825974556705
Barry,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-7797.7613803073045,-14001.513722847949,-21799.275103155254
Barry,2014,Output,520,92 Government & non NAICs,0,-5202.3392691624531,-611.84754199259453,-5814.1868111550475
Bay,2014,Output,0,Total,-1855366.3000000001,-399187.86144391226,-383633.52511206584,-2638187.6865559779
Bay,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-25.141645743617413,-227.1835803141052,-252.32522605772263
Bay,2014,Output,20,21 Mining,0,-91.431039054428396,-73.105392593983865,-164.53643164841228
Bay,2014,Output,41,22 Utilities,0,-29605.815666549133,-18254.184493486588,-47860.000160035721
Bay,2014,Output,52,23 Construction,0,-7965.4973827938702,-4546.1947369823738,-12511.692119776244
Bay,2014,Output,65,31-33 Manufacturing,0,-12507.047287268777,-2537.5119507836571,-15044.559238052436
Bay,2014,Output,395,42 Wholesale Trade,-1855366.3000000001,-42322.863054740475,-18666.501077992303,-1916355.6641327329
Bay,2014,Output,396,44-45 Retail trade,0,-4482.9621014190488,-45252.868942166555,-49735.831043585604
Bay,2014,Output,408,48-49 Transportation & Warehousing,0,-29869.709695300378,-6496.7918528824985,-36366.501548182874
Bay,2014,Output,417,51-56 Professional Services,0,-215881.84369023642,-145807.57215428262,-361689.41584451916
Bay,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-34827.618596594933,-136696.23748211327,-171523.8560787082
Bay,2014,Output,520,92 Government & non NAICs,0,-21607.931284211169,-5075.3734484679462,-26683.30473267912
Benzie,2014,Output,0,Total,-106269.11,-21990.074250275014,-8163.7792755978544,-136422.96352587288
Benzie,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-3.6664137988289891,-30.781721104470211,-34.448134903299206
Benzie,2014,Output,20,21 Mining,0,-37.707727978044993,-13.819697091886212,-51.527425069931205
Benzie,2014,Output,41,22 Utilities,0,-39.688870433830893,-31.764890419383885,-71.453760853214774
Benzie,2014,Output,52,23 Construction,0,-1042.1527689745167,-225.27362035060537,-1267.4263893251221
Benzie,2014,Output,65,31-33 Manufacturing,0,-80.988543130263579,-17.172451126610078,-98.160994256873693
Benzie,2014,Output,395,42 Wholesale Trade,-106269.11,-1083.757411407234,-197.40529779502774,-107550.27270920227
Benzie,2014,Output,396,44-45 Retail trade,0,-278.17059297754759,-1053.7648903134991,-1331.9354832910465
Benzie,2014,Output,408,48-49 Transportation & Warehousing,0,-1287.034373846968,-71.228310074964838,-1358.2626839219329
Benzie,2014,Output,417,51-56 Professional Services,0,-14426.588733934588,-3923.1334727693593,-18349.722206703951
Benzie,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-2381.6570168274352,-2574.5732514855931,-4956.2302683130301
Benzie,2014,Output,520,92 Government & non NAICs,0,-1328.6617969657575,-24.861673066455658,-1353.5234700322133
Berrien,2014,Output,0,Total,-2345685.5,-514234.06885359914,-540275.39026298642,-3400194.9591165851
Berrien,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-39.221995720570696,-1217.2139620846622,-1256.4359578052329
Berrien,2014,Output,20,21 Mining,0,-546.72741698068023,-579.25882985875398,-1125.9862468394342
Berrien,2014,Output,41,22 Utilities,0,-22117.287397638833,-16520.5234920318,-38637.810889670625
Berrien,2014,Output,52,23 Construction,0,-7505.2250226541219,-5893.6534423268859,-13398.878464981006
Berrien,2014,Output,65,31-33 Manufacturing,0,-17806.750569880955,-3321.0891737746379,-21127.839743655579
Berrien,2014,Output,395,42 Wholesale Trade,-2345685.5,-37714.759327471256,-20210.706418722599,-2403610.9657461937
Berrien,2014,Output,396,44-45 Retail trade,0,-4994.0697686840722,-60172.101567768266,-65166.171336452346
Berrien,2014,Output,408,48-49 Transportation & Warehousing,0,-73296.556715171639,-10402.48835794737,-83699.045073119007
Berrien,2014,Output,417,51-56 Professional Services,0,-264897.90828595537,-201605.16048519625,-466503.06877115142
Berrien,2014,Output,472,"61-72 Educational, Health, Recreation Service",0,-39851.609203212429,-198862.34208957932,-238713.95129279175
Berrien,2014,Output,520,92 Government & non NAICs,0,-45463.953150229165,-21490.852443695876,-66954.805593925033
Branch,2014,Output,0,Total,-705841.25,-142847.12046801823,-95397.055228911064,-944085.42569692922
Branch,2014,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-46.172338631721011,-551.15725713373297,-597.32959576545397
