county,IndustryType
Alcona,S
Allegan,M
Alpena,S
Antrim,S
Arenac,S
Barry,M
Bay,S
Benzie,M
Berrien,S
Branch,S
Calhoun,M
Cass,S
Charlevoix,S
Cheboygan,S
Chippewa,S
Clare,S
Clinton,S
Crawford,S
Delta,M
Dickinson,M
Eaton,S
Emmet,S
Genesee,S
Gladwin,S
Gogebic,S
Grand Traverse,S
Gratiot,S
Hillsdale,M
Houghton,S
Huron,S
Ingham,M
Ionia,M
Iosco,S
Iron,S
Isabella,S
Jackson,S
Kalamazoo,S
Kalkaska,S
Kent,S
Lake,S
Lapeer,S
Leelanau,S
Lenawee,S
Livingston,S
Mackinac,S
Macomb,S
Manistee,S
Marquette,M
Mason,S
Mecosta,S
Menominee,S
Midland,M
Missaukee,M
Monroe,S
Montcalm,M
Muskegon,S
Newaygo,S
Oakland,S
Oceana,M
Ogemaw,S
Osceola,M
Otsego,S
Ottawa,S
Presque Isle,S
Roscommon,S
Saginaw,S
Sanilac,S
Shiawassee,S
St. Clair,S
St. Joseph,M
Tuscola,S
Van Buren,S
Washtenaw,S
Wayne,S
Wexford,M
