county,year,table,sector,description,direct,indirect,induced,total
Alcona,2001,Output,0,Total,-37988.714875660698,-1971.5099274756838,-2348.4469721933119,-42308.671775329691
Alcona,2001,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-0.81747472448671277,-7.5055550750036177,-8.3230297994903317
Alcona,2001,Output,20,21 Mining,0,-2.165442808949992,-0.88709775490422149,-3.0525405638542131
Alcona,2001,Output,41,22 Utilities,0,0,0,0
Alcona,2001,Output,52,23 Construction,0,-19.85064152187104,-7.5533578411092179,-27.403999362980258
Alcona,2001,Output,65,31-33 Manufacturing,0,-7.0377399793749662,-3.7874513139170851,-10.825191293292054
Alcona,2001,Output,395,42 Wholesale Trade,-37988.714875660698,-11.864952203541179,-4.4207783251944353,-38005.000606189431
Alcona,2001,Output,396,44-45 Retail trade,0,-13.445808565991184,-270.43133135419652,-283.87713992018769
Alcona,2001,Output,408,48-49 Transportation & Warehousing,0,-78.041365258162244,-20.721045513458368,-98.762410771620623
Alcona,2001,Output,417,51-56 Professional Services,0,-1491.1259672381557,-1616.5438204359459,-3107.6697876741005
Alcona,2001,Output,472,"61-72 Educational, Health, Recreation Service",0,-102.11391011418472,-409.18058697740662,-511.29449709159121
Alcona,2001,Output,518,92 Government & non NAICs,0,-245.04662506096594,-7.4159476021757325,-252.46257266314166
Allegan,2001,Output,0,Total,-1670156.29106344,-38688.675676252213,-77018.583502626774,-1785863.5502423195
Allegan,2001,Output,1,"11 Ag, Forestry, Fish & Hunting",0,-20.160464761742102,-1081.5173737560494,-1101.6778385177915
Allegan,2001,Output,20,21 Mining,0,-16.590254559328901,-36.843552738465661,-53.433807297794559
Allegan,2001,Output,41,22 Utilities,0,-2958.0701129927743,-2385.5638147039131,-5343.6339276966874
Allegan,2001,Output,52,23 Construction,0,-105.86206734906276,-57.16829795891713,-163.03036530797988
Allegan,2001,Output,65,31-33 Manufacturing,0,-1372.8395240382247,-3378.6177552670024,-4751.4572793052257
Allegan,2001,Output,395,42 Wholesale Trade,-1670156.29106344,-1867.1424028389156,-831.37763137267518,-1672854.8110976517
Allegan,2001,Output,396,44-45 Retail trade,0,-87.166174423618074,-1916.3538831278431,-2003.5200575514609
Allegan,2001,Output,408,48-49 Transportation & Warehousing,0,-5671.3840417018755,-1527.0406102696645,-7198.4246519715407
Allegan,2001,Output,417,51-56 Professional Services,0,-24778.560525195637,-60240.796381188557,-85019.356906384201
