Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-0.41183856129646301,-0.028687527322970256,-0.023513849859102248,-0.46403993847853559
1,"11 Ag, Forestry, Fish & Hunting",0,-1.8062518854539378E-05,-0.00042159314942370827,-0.00043965566827824763
20,21 Mining,0,-1.4189567900413121E-05,-5.8095112993585648E-06,-1.9999079199771683E-05
41,22 Utilities,0,0,0,0
52,23 Construction,0,-0.00036285718942167205,-0.00013094492210725245,-0.00049380211152892455
65,31-33 Manufacturing,0,-6.1523824378355334E-05,-3.3203975030700229E-05,-9.472779940905557E-05
395,42 Wholesale Trade,-0.41183856129646301,-0.00012862885440105749,-4.7925995973339967E-05,-0.41201511614683745
396,44-45 Retail trade,0,-0.0003710223863274018,-0.0070078690292408301,-0.007378891415568232
408,48-49 Transportation & Warehousing,0,-0.00087970927481217161,-0.00019454191228916945,-0.0010742511871013412
417,51-56 Professional Services,0,-0.020568522853358084,-0.0065332438179150363,-0.027101766671273123
472,"61-72 Educational, Health, Recreation Service",0,-0.0019572631695495201,-0.0090078056503558115,-0.010965068819905331
518,92 Government & non NAICs,0,-0.0043257476839670406,-0.00013091189546704201,-0.0044566595794340823
