Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-37988.714875660698,-1971.5099274756838,-2348.4469721933119,-42308.671775329691
1,"11 Ag, Forestry, Fish & Hunting",0,-0.81747472448671277,-7.5055550750036177,-8.3230297994903317
20,21 Mining,0,-2.165442808949992,-0.88709775490422149,-3.0525405638542131
41,22 Utilities,0,0,0,0
52,23 Construction,0,-19.85064152187104,-7.5533578411092179,-27.403999362980258
65,31-33 Manufacturing,0,-7.0377399793749662,-3.7874513139170851,-10.825191293292054
395,42 Wholesale Trade,-37988.714875660698,-11.864952203541179,-4.4207783251944353,-38005.000606189431
396,44-45 Retail trade,0,-13.445808565991184,-270.43133135419652,-283.87713992018769
408,48-49 Transportation & Warehousing,0,-78.041365258162244,-20.721045513458368,-98.762410771620623
417,51-56 Professional Services,0,-1491.1259672381557,-1616.5438204359459,-3107.6697876741005
472,"61-72 Educational, Health, Recreation Service",0,-102.11391011418472,-409.18058697740662,-511.29449709159121
518,92 Government & non NAICs,0,-245.04662506096594,-7.4159476021757325,-252.46257266314166
