Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-14.29541015625,-0.43580022850406885,-0.32549744178904078,-15.056707826543113
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00021411789440113312,-0.0096661122995800371,-0.0098802301939811699
20,21 Mining,0,-0.00035784265796953604,-0.0004648789600827093,-0.00082272161805224545
41,22 Utilities,0,-0.0032883738150257776,-0.0029418559398371505,-0.0062302297548629277
52,23 Construction,0,-0.0016228896763061606,-0.00080476235239541351,-0.0024276520287015739
65,31-33 Manufacturing,0,-0.0095201779192152849,-0.012363035940784056,-0.021883213859999331
395,42 Wholesale Trade,-14.29541015625,-0.015981478059322842,-0.0071160310828956531,-14.31850766539222
396,44-45 Retail trade,0,-0.0033482135207685733,-0.061162460297464451,-0.064510673818233027
408,48-49 Transportation & Warehousing,0,-0.083552756835409234,-0.019662037251707811,-0.10321479408711705
417,51-56 Professional Services,0,-0.28272281609848482,-0.087525182572753421,-0.37024799867123837
472,"61-72 Educational, Health, Recreation Service",0,-0.027693084421954402,-0.12161290219402389,-0.14930598661597827
518,92 Government & non NAICs,0,-0.0074984776052111285,-0.0021781828975161745,-0.0096766605027273044
