Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-295593.59108018002,-21604.445099711884,-21558.098205022219,-338756.13438491407
1,"11 Ag, Forestry, Fish & Hunting",0,-8.2423998865765249,-279.10486258357588,-287.34726247015237
20,21 Mining,0,-34.339836914423792,-40.130349141888722,-74.470186056312514
41,22 Utilities,0,0,0,0
52,23 Construction,0,-50.478944958512422,-25.077323955744365,-75.55626891425679
65,31-33 Manufacturing,0,-276.40352239566357,-68.532955604669596,-344.93647800033318
395,42 Wholesale Trade,-295593.59108018002,-1104.2375998115167,-594.64910101505711,-297292.4777810066
396,44-45 Retail trade,0,-58.71251343792153,-1110.5906741669626,-1169.303187604884
408,48-49 Transportation & Warehousing,0,-1358.5498430712189,-283.69168044970934,-1642.2415235209282
417,51-56 Professional Services,0,-17507.508152340593,-16476.64503250776,-33984.153184848336
472,"61-72 Educational, Health, Recreation Service",0,-940.50822567523289,-2666.4537543915098,-3606.9619800667433
518,92 Government & non NAICs,0,-265.46406122022199,-13.222471205342542,-278.68653242556451
