Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-262102.53442722801,-12568.17724979909,-9183.7250079779296,-283854.43668500503
1,"11 Ag, Forestry, Fish & Hunting",0,-5.8724089206025312,-83.216313604884803,-89.088722525487313
20,21 Mining,0,-18.616021434890413,-18.979515660034647,-37.595537094925064
41,22 Utilities,0,0,0,0
52,23 Construction,0,-8.7887380740886929,-2.0245845703030785,-10.813322644391771
65,31-33 Manufacturing,0,-259.1075645468178,-21.521965339890716,-280.6295298867085
395,42 Wholesale Trade,-262102.53442722801,-518.73043496141327,-131.05862195976297,-262752.32348414918
396,44-45 Retail trade,0,-22.729683593776432,-213.47928536406042,-236.20896895783682
408,48-49 Transportation & Warehousing,0,-3157.3731870649799,-360.28917624731861,-3517.6623633122986
417,51-56 Professional Services,0,-8260.0026940228709,-7501.1441306205452,-15761.146824643418
472,"61-72 Educational, Health, Recreation Service",0,-228.10395105347359,-850.03784207830438,-1078.1417931317781
518,92 Government & non NAICs,0,-88.852566126175347,-1.9735725328256684,-90.826138659001018
