Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1590763.34601757,-50936.574514681211,-76451.794809327883,-1718151.7153415796
1,"11 Ag, Forestry, Fish & Hunting",0,-8.7638246112806506,-146.41820072501758,-155.18202533629824
20,21 Mining,0,-27.454992245751352,-24.656886197737947,-52.111878443489303
41,22 Utilities,0,-13411.090785398797,-8814.4266043960197,-22225.517389794815
52,23 Construction,0,-30.787623562450896,-25.639717218122797,-56.427340780573694
65,31-33 Manufacturing,0,-853.07077822148142,-637.38322688777316,-1490.4540051092542
395,42 Wholesale Trade,-1590763.34601757,-4759.0490498133004,-2162.2563790440445,-1597684.6514464275
396,44-45 Retail trade,0,-64.156072192386745,-1160.0826261603913,-1224.2386983527781
408,48-49 Transportation & Warehousing,0,-5568.0516799791867,-2169.8876294119427,-7737.9393093911303
417,51-56 Professional Services,0,-23049.359226850262,-56534.899396003908,-79584.258622854162
472,"61-72 Educational, Health, Recreation Service",0,-674.98334168568601,-3331.5630929164981,-4006.5464346021854
518,92 Government & non NAICs,0,-2489.807140120623,-1444.5810503664407,-3934.3881904870636
