Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.5795841217041016,-0.15790000328032064,-0.1129323289942782,-1.8504164539787003
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00013617006908378982,-0.002626802239017941,-0.002762972308101731
20,21 Mining,0,-5.6008102397524694E-05,-3.5692544819486282E-05,-9.1700647217010976E-05
41,22 Utilities,0,-0.00046127246868004398,-0.00033421675652422209,-0.00079548922520426618
52,23 Construction,0,-0.0012597025638214931,-0.00043399354652933245,-0.0016936961103508257
65,31-33 Manufacturing,0,-0.0030053360114973677,-0.00021430919397026358,-0.0032196452054676313
395,42 Wholesale Trade,-1.5795841217041016,-0.0031883141412788587,-0.0011370817958227251,-1.5839095176412033
396,44-45 Retail trade,0,-0.0014528113600814547,-0.022106759918309009,-0.023559571278390465
408,48-49 Transportation & Warehousing,0,-0.01251403911627579,-0.0028866814719064817,-0.01540072058818227
417,51-56 Professional Services,0,-0.10972952517185114,-0.027457891013731077,-0.1371874161855822
472,"61-72 Educational, Health, Recreation Service",0,-0.020959376365487187,-0.055524647161338501,-0.076484023526825679
518,92 Government & non NAICs,0,-0.0051374479098659749,-0.00017425335230915117,-0.0053117012621751265
