Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-153050.53400058701,-12436.396725240629,-10938.433685561451,-176425.36441138905
1,"11 Ag, Forestry, Fish & Hunting",0,-3.692679425021212,-55.327564701517218,-59.020244126538437
20,21 Mining,0,-8.3223860153373721,-5.3112016595387734,-13.633587674876145
41,22 Utilities,0,-444.42206812656366,-264.45703930628451,-708.87910743284806
52,23 Construction,0,-79.644849348023754,-29.087821907479082,-108.73267125550282
65,31-33 Manufacturing,0,-292.35012730508072,-35.592826956519652,-327.94295426160028
395,42 Wholesale Trade,-153050.53400058701,-308.92510911202407,-110.1751904857572,-153469.63430018479
396,44-45 Retail trade,0,-75.167616979650546,-1049.2446274784284,-1124.4122444580792
408,48-49 Transportation & Warehousing,0,-872.39939596504087,-253.74654796109425,-1126.1459439261353
417,51-56 Professional Services,0,-9091.5742122542706,-6615.9004166485101,-15707.474628902781
472,"61-72 Educational, Health, Recreation Service",0,-936.50923366378629,-2508.6216510034892,-3445.1308846672764
518,92 Government & non NAICs,0,-323.38904704582995,-10.968797452832522,-334.35784449866247
