Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.2291138172149658,-0.11160058824443629,-0.070668144016085399,-1.4113825494754879
1,"11 Ag, Forestry, Fish & Hunting",0,-3.8723784140304482E-05,-0.0010940885614775689,-0.0011328123456178731
20,21 Mining,0,-8.0753977941884744E-05,-0.00010006715605925554,-0.0001808211340011403
41,22 Utilities,0,-0.0045792906572949552,-0.0025929998022268309,-0.0071722904595217874
52,23 Construction,0,-0.00039239883634581429,-0.00014994280373931384,-0.00054234164008512813
65,31-33 Manufacturing,0,-0.0013311090791536448,-0.00012337012097883638,-0.0014544792001324816
395,42 Wholesale Trade,-1.2291138172149658,-0.0012076325576495272,-0.00044077474333606892,-1.2307622245159515
396,44-45 Retail trade,0,-0.00091694713466423591,-0.014300502836228812,-0.015217449970893048
408,48-49 Transportation & Warehousing,0,-0.014079172882629942,-0.0022040175962959661,-0.016283190478925909
417,51-56 Professional Services,0,-0.062026974561336094,-0.012649508570599344,-0.074676483131935464
472,"61-81 Educational, Health, Recreation Service",0,-0.0099615348475036308,-0.031070743770428986,-0.04103227861793262
518,92 Government & non NAICs,0,-0.016986049925776264,-0.0059421280547144175,-0.022928177980490683
