Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-120013.06428982101,-11344.886291972834,-8497.218801740275,-139855.16938353411
1,"11 Ag, Forestry, Fish & Hunting",0,-0.84892808059413005,-16.087134932985983,-16.936063013580117
20,21 Mining,0,-10.838730681913278,-13.182636957731852,-24.021367639645131
41,22 Utilities,0,-888.86097508677528,-537.13951748313684,-1426.0004925699122
52,23 Construction,0,-24.426820929046411,-9.6596095791623142,-34.086430508208721
65,31-33 Manufacturing,0,-125.18442849940689,-26.775339317529134,-151.95976781693597
395,42 Wholesale Trade,-120013.06428982101,-117.91559170206892,-43.038103219873456,-120174.01798474295
396,44-45 Retail trade,0,-30.882495281641134,-518.80169755176962,-549.68419283341063
408,48-49 Transportation & Warehousing,0,-1035.2164057577404,-239.60220601754836,-1274.8186117752887
417,51-56 Professional Services,0,-6548.6278966879408,-4944.2831820449701,-11492.911078732914
472,"61-81 Educational, Health, Recreation Service",0,-412.19026369409329,-1364.0403792395096,-1776.2306429336031
518,92 Government & non NAICs,0,-2149.8937555716138,-784.60899539605884,-2934.5027509676729
