Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-7.8522782325744629,-0.280841227817548,-0.096891665693202816,-8.2300111260852127
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00025684384052406114,-0.0027027550802830504,-0.0029595989208071119
20,21 Mining,0,-0.00061929591137362301,-0.00068133722813541254,-0.0013006331395090359
41,22 Utilities,0,-1.2512510571916533E-06,-2.9799311963703577E-06,-4.2311822535620107E-06
52,23 Construction,0,-0.00013361117091711375,-8.3982965731336612E-05,-0.00021759413664845036
65,31-33 Manufacturing,0,-0.0014678993273447133,-0.00094558655561291841,-0.0024134858829576323
395,42 Wholesale Trade,-7.8522782325744629,-0.012560113947356077,-0.0050299126657430467,-7.8698682591875624
396,44-45 Retail trade,0,-0.0015655404725402112,-0.017773892632789848,-0.01933943310533006
408,48-49 Transportation & Warehousing,0,-0.06137041822356943,-0.0078094025753889882,-0.069179820798958416
417,51-56 Professional Services,0,-0.19695634244997159,-0.039362813769833888,-0.23631915621980557
472,"61-81 Educational, Health, Recreation Service",0,-0.0053651372101400944,-0.022481981783832195,-0.027847118993972287
518,92 Government & non NAICs,0,-0.00054477401275387547,-1.7020504655770623E-05,-0.00056179451740964606
