Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-4.2709245681762695,-0.62276595281096048,-0.57765039245897565,-5.4713409134462063
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00016769478912983339,-0.0020449364479763451,-0.0022126312371061785
20,21 Mining,0,-8.4482422133436627E-05,-7.9565467459588766E-05,-0.00016404788959302537
41,22 Utilities,0,-0.0030401697103894041,-0.0024346293477476772,-0.0054747990581370818
52,23 Construction,0,-0.004064015178971518,-0.0020795483773323629,-0.0061435635563038809
65,31-33 Manufacturing,0,-0.014927947781659054,-0.0033040346731744315,-0.018231982454833484
395,42 Wholesale Trade,-4.2709245681762695,-0.02514459635006289,-0.012084781245955639,-4.3081539457722879
396,44-45 Retail trade,0,-0.0076335018776124489,-0.14926318168863775,-0.1568966835662502
408,48-49 Transportation & Warehousing,0,-0.088499493542990165,-0.016870777513781916,-0.10537027105677209
417,51-56 Professional Services,0,-0.37302031877033309,-0.11004704166141552,-0.48306736043174875
472,"61-81 Educational, Health, Recreation Service",0,-0.064627853571115876,-0.27718713088145458,-0.34181498445257036
518,92 Government & non NAICs,0,-0.041555878816562752,-0.0022547651540398192,-0.043810643970602574
