Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-11.687158584594727,-0.24862133653720892,-0.14627696995351372,-12.08205689108545
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00011572292937228028,-0.00084276961030687865,-0.00095849253967915892
20,21 Mining,0,-0.00017958672084556439,-0.00065362341404289956,-0.00083321013488846392
41,22 Utilities,0,-2.0718650088541139E-06,-5.1476736599284228E-06,-7.2195386687825366E-06
52,23 Construction,0,-0.00017881656512643888,-0.00014199179745700435,-0.0003208083625834432
65,31-33 Manufacturing,0,-0.0010385079877853205,-0.0014118444486995877,-0.0024503524364849066
395,42 Wholesale Trade,-11.687158584594727,-0.018607817322306548,-0.0075246633858433963,-11.713291065302878
396,44-45 Retail trade,0,-0.0012868368502378627,-0.016466425612672385,-0.017753262462910247
408,48-49 Transportation & Warehousing,0,-0.015501240468695623,-0.003668842205906409,-0.019170082674602032
417,51-56 Professional Services,0,-0.19704256210628418,-0.072811152990123695,-0.26985371509640765
472,"61-81 Educational, Health, Recreation Service",0,-0.005533159965402025,-0.033217698126218782,-0.038750858091620814
518,92 Government & non NAICs,0,-0.0091350137561442401,-0.009532810688582756,-0.018667824444726994
