Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1317293.5046071401,-35508.020669505306,-58049.347557041729,-1410850.8728336871
1,"11 Ag, Forestry, Fish & Hunting",0,-3.4838258344972011,-47.949855869223541,-51.433681703720737
20,21 Mining,0,-16.785639516241869,-78.435799645794077,-95.221439162035921
41,22 Utilities,0,-1.4590424278867493,-3.6250789711944424,-5.0841213990811918
52,23 Construction,0,-13.956714739896293,-11.964794132543027,-25.921508872439318
65,31-33 Manufacturing,0,-135.0545903346204,-331.10723095290223,-466.16182128752251
395,42 Wholesale Trade,-1317293.5046071401,-2097.3410663048271,-848.12663709520086,-1320238.97231054
396,44-45 Retail trade,0,-108.46206079626232,-1300.1706701758849,-1408.6327309721471
408,48-49 Transportation & Warehousing,0,-1627.6680546400314,-512.68964941092713,-2140.3577040509581
417,51-56 Professional Services,0,-30564.380595830138,-52733.459654887345,-83297.840250717461
472,"61-81 Educational, Health, Recreation Service",0,-243.77752930390264,-1642.9563821594395,-1886.7339114633417
518,92 Government & non NAICs,0,-695.65154977700024,-538.86180374127264,-1234.5133535182729
