Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-420512.54346150003,-37943.254281314061,-36215.045204061993,-494670.84294687607
1,"11 Ag, Forestry, Fish & Hunting",0,-1.8607976392685779,-102.37353628950736,-104.23433392877594
20,21 Mining,0,-9.4477671942469872,-15.418572775602456,-24.866339969849442
41,22 Utilities,0,-160.7889315828441,-453.50484879940916,-614.29378038225332
52,23 Construction,0,-149.46225094383365,-78.56495241272232,-228.02720335655599
65,31-33 Manufacturing,0,-1610.6589493934841,-240.62759713926167,-1851.2865465327452
395,42 Wholesale Trade,-420512.54346150003,-1727.9466835400672,-906.87381603340111,-423147.36396107351
396,44-45 Retail trade,0,-91.293979261355446,-2132.1089676241663,-2223.4029468855219
408,48-49 Transportation & Warehousing,0,-2264.4935081712383,-770.99519109753521,-3035.4886992687739
417,51-56 Professional Services,0,-24392.043903464066,-21867.588795374741,-46259.63269883881
472,"61-81 Educational, Health, Recreation Service",0,-1356.2497894793319,-6960.3532407971079,-8316.6030302764393
518,92 Government & non NAICs,0,-6179.0077206443275,-2686.6356857185365,-8865.6434063628622
