Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.2975994348526001,-0.015994450484592519,-0.0093806424285633877,-1.3229745277657556
1,"11 Ag, Forestry, Fish & Hunting",0,-5.5605367159651979E-05,-0.0013771154730795278,-0.0014327208402391794
20,21 Mining,0,-1.8903136323678967E-05,-3.3953380349376863E-05,-5.2856516673055831E-05
41,22 Utilities,0,0,0,0
52,23 Construction,0,-1.4031363479592147E-05,-9.1810568461590537E-06,-2.3212420325751202E-05
65,31-33 Manufacturing,0,-0.00016160295432859862,-0.00038070787643964919,-0.00054231083076824776
395,42 Wholesale Trade,-1.2975994348526001,-0.0011395710367557064,-0.00047468348851040004,-1.2992136893778661
396,44-45 Retail trade,0,-0.00010219399350581553,-0.0013814243113792625,-0.001483618304885078
408,48-49 Transportation & Warehousing,0,-0.0054823090978913906,-0.0010042063523897605,-0.0064865154502811509
417,51-56 Professional Services,0,-0.0082790648007079193,-0.0023284247773106108,-0.010607489578018528
472,"61-81 Educational, Health, Recreation Service",0,-0.00051039420836128738,-0.0023837798466448562,-0.0028941740550061435
518,92 Government & non NAICs,0,-0.00023077452607887759,-7.1658656137857331E-06,-0.00023794039169266332
