Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-140302.98422347999,-1494.6882463222369,-4839.998010682456,-146637.67048048473
1,"11 Ag, Forestry, Fish & Hunting",0,-0.63062213048295845,-32.133986312642286,-32.764608443125248
20,21 Mining,0,-2.8659651976810276,-4.9261128880679301,-7.7920780857489582
41,22 Utilities,0,0,0,0
52,23 Construction,0,-0.91883581096204947,-0.651871995274239,-1.5707078062362885
65,31-33 Manufacturing,0,-20.221304710960521,-157.82814297290841,-178.04944768386892
395,42 Wholesale Trade,-140302.98422347999,-123.21616229705978,-51.325170501477359,-140477.52555627853
396,44-45 Retail trade,0,-2.589410098656157,-39.412204278961418,-42.001614377617585
408,48-49 Transportation & Warehousing,0,-512.56529390287847,-99.379795802113478,-611.94508970499191
417,51-56 Professional Services,0,-795.76168443194501,-4342.5663525817044,-5138.3280370136481
472,"61-81 Educational, Health, Recreation Service",0,-21.880383527055166,-111.3384560511599,-133.21883957821501
518,92 Government & non NAICs,0,-14.038584214555939,-0.4359172981464059,-14.474501512702345
