Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-729485.36247809301,-11129.118168025594,-27895.372593800945,-768509.85323991964
1,"11 Ag, Forestry, Fish & Hunting",0,-26.331127556585379,-482.45882866729755,-508.789956223883
20,21 Mining,0,-79.579599401656409,-72.155560727372134,-151.73516012902854
41,22 Utilities,0,-0.85185034302771423,-2.0958462941121669,-2.9476966371398809
52,23 Construction,0,-6.3226611902178185,-3.4546130498766039,-9.7772742400944228
65,31-33 Manufacturing,0,-340.10199968543839,-455.92420972575547,-796.02620941119358
395,42 Wholesale Trade,-729485.36247809301,-1483.7359493495897,-597.01315093713811,-731566.11157837976
396,44-45 Retail trade,0,-20.251711065544566,-294.89756489390436,-315.14927595944891
408,48-49 Transportation & Warehousing,0,-3790.8863225970272,-1181.6845481116452,-4972.5708707086715
417,51-56 Professional Services,0,-4977.5346610325159,-22923.43046028513,-27900.965121317648
472,"61-81 Educational, Health, Recreation Service",0,-310.11829849658812,-1879.0636666153921,-2189.1819651119813
518,92 Government & non NAICs,0,-93.403987307402232,-3.1941444933227885,-96.598131800725014
