Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-515100.037731132,-10313.099418941616,-22398.220552106744,-547811.35770218039
1,"11 Ag, Forestry, Fish & Hunting",0,-6.0150329242550002,-154.53953154430025,-160.55456446855521
20,21 Mining,0,-9.2893932788534563,-15.66385617632594,-24.953249455179396
41,22 Utilities,0,-267.3358070269843,-688.18516698289545,-955.52097400987975
52,23 Construction,0,-12.364860281179714,-5.4682420638887423,-17.833102345068458
65,31-33 Manufacturing,0,-144.25115082486434,-444.67344699245825,-588.92459781732248
395,42 Wholesale Trade,-515100.037731132,-595.68708730099024,-247.42040736210043,-515943.1452257951
396,44-45 Retail trade,0,-33.766420541484194,-582.14220181905307,-615.90862236053727
408,48-49 Transportation & Warehousing,0,-1821.6639074091186,-455.32600111290787,-2276.9899085220263
417,51-56 Professional Services,0,-6635.9789043455276,-17910.870546172904,-24546.849450518435
472,"61-81 Educational, Health, Recreation Service",0,-377.71263475455299,-1724.5739781262575,-2102.2866128808114
518,92 Government & non NAICs,0,-409.03422025380422,-169.3571737536561,-578.39139400746035
