Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-5.7876667976379395,-0.14260654957004254,-0.029480654908159848,-5.9597540021161421
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00016966345316678081,-0.0015604848733569193,-0.0017301483265237006
20,21 Mining,0,-0.00046546559418361131,-0.00026296813579488508,-0.00072843372997849639
41,22 Utilities,0,-0.0034027204220844903,-0.0011608136531692814,-0.0045635340752537721
52,23 Construction,0,-0.00010544749631125006,-3.5720111504597219E-05,-0.00014116760781584725
65,31-33 Manufacturing,0,-0.0014739588710207803,-0.00076642984797406662,-0.0022403887189948474
395,42 Wholesale Trade,-5.7876667976379395,-0.0057072136501464324,-0.0013253866169301582,-5.7946993979050161
396,44-45 Retail trade,0,-0.00067690619103067122,-0.0050159614031511516,-0.0056928675941818226
408,48-49 Transportation & Warehousing,0,-0.020610886108261423,-0.0033626003667729218,-0.023973486475034344
417,51-56 Professional Services,0,-0.10657460707308011,-0.0088364305390850693,-0.11541103761216516
472,"61-81 Educational, Health, Recreation Service",0,-0.0027154278615647868,-0.0071415156009487484,-0.0098569434625135344
518,92 Government & non NAICs,0,-0.00070425284919221399,-1.2343759472047458E-05,-0.00071659660866426147
