Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-519005.75975896599,-15375.963203054787,-13833.672096956103,-548215.39505897684
1,"11 Ag, Forestry, Fish & Hunting",0,-15.496049501941069,-139.22541317706669,-154.72146267900777
20,21 Mining,0,-66.235399290082171,-36.622912579550722,-102.8583118696329
41,22 Utilities,0,-2595.9477236585785,-883.30674866313734,-3479.2544723217156
52,23 Construction,0,-6.6639502748460728,-2.481170341217672,-9.1451206160637444
65,31-33 Manufacturing,0,-252.81281607936367,-157.62800666564854,-410.44082274501227
395,42 Wholesale Trade,-519005.75975896599,-511.79118689609459,-118.85330239169883,-519636.40424825379
396,44-45 Retail trade,0,-49.498360395371002,-343.3396395736907,-392.83799996906168
408,48-49 Transportation & Warehousing,0,-1498.4350100016634,-243.62584215132233,-1742.0608521529857
417,51-56 Professional Services,0,-10223.390758395899,-11616.259293794143,-21839.650052190049
472,"61-81 Educational, Health, Recreation Service",0,-111.37202355255083,-291.55295216839465,-402.92497572094544
518,92 Government & non NAICs,0,-44.319925008396943,-0.77681545023258824,-45.096740458629533
