Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.6907960176467896,-0.2481374493508976,-0.17138598738044769,-2.1103194543781352
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00012971192567990853,-0.0011900667135196022,-0.0013197786391995108
20,21 Mining,0,-0.00022430546189186314,-0.00026470921099684089,-0.00048901467288870403
41,22 Utilities,0,-0.00014517960725719982,-0.00028794699664072429,-0.00043312660389792411
52,23 Construction,0,-0.0025833325839578775,-0.00084379193413413093,-0.0034271245180920082
65,31-33 Manufacturing,0,-0.0022936871408522773,-0.00030450490746405571,-0.0025981920483163327
395,42 Wholesale Trade,-1.6907960176467896,-0.0019518934086878695,-0.00078772426382258309,-1.6935356353193001
396,44-45 Retail trade,0,-0.0024533405626873546,-0.042170397464283541,-0.044623738026970894
408,48-49 Transportation & Warehousing,0,-0.057195760738738284,-0.0039858022541446308,-0.061181562992882917
417,51-56 Professional Services,0,-0.14438284215060604,-0.044579088041590269,-0.18896193019219637
472,"61-81 Educational, Health, Recreation Service",0,-0.020357131359923033,-0.076337607687392534,-0.096694739047315584
518,92 Government & non NAICs,0,-0.016420264410615889,-0.00063434790645876488,-0.017054612317074655
