Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-164583.05759914301,-18909.582190428438,-15072.566990162206,-198565.20677973365
1,"11 Ag, Forestry, Fish & Hunting",0,-3.8161509658662158,-29.931193477194824,-33.747344443061046
20,21 Mining,0,-32.516692018973849,-38.26534776182325,-70.782039780797092
41,22 Utilities,0,-92.318932434604079,-183.10394848036674,-275.42288091497085
52,23 Construction,0,-177.68562551395849,-59.917045995514314,-237.60267150947277
65,31-33 Manufacturing,0,-237.13297996015496,-48.130569604827684,-285.26354956498261
395,42 Wholesale Trade,-164583.05759914301,-189.99842760444153,-76.677533130647745,-164849.73355987811
396,44-45 Retail trade,0,-107.36378693309894,-1772.1708542042916,-1879.5346411373903
408,48-49 Transportation & Warehousing,0,-4648.6673861896134,-361.47053021176652,-5010.1379164013797
417,51-56 Professional Services,0,-11249.168900428358,-8831.0487084828801,-20080.217608911244
472,"61-81 Educational, Health, Recreation Service",0,-1174.4014819650233,-3633.3539986567989,-4807.7554806218241
518,92 Government & non NAICs,0,-996.51182641435082,-38.49726015609474,-1035.0090865704456
