Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-65819.896803204101,-8667.6598837088113,-5145.0761204939063,-79632.632807406815
1,"11 Ag, Forestry, Fish & Hunting",0,-1.6720582108869033,-39.610352581719326,-41.282410792606228
20,21 Mining,0,-50.997468218703482,-46.653413579962567,-97.650881798666063
41,22 Utilities,0,-231.27415630588462,-190.01248819913059,-421.28664450501515
52,23 Construction,0,-27.885425561136845,-10.369408710433529,-38.254834271570367
65,31-33 Manufacturing,0,-131.68568885356535,-28.952158594054502,-160.63784744761983
395,42 Wholesale Trade,-65819.896803204101,-86.482394047372509,-30.486232899275759,-65936.865430150749
396,44-45 Retail trade,0,-29.224206672720982,-434.61999864611255,-463.84420531883359
408,48-49 Transportation & Warehousing,0,-167.7937654153329,-87.236999588876998,-255.03076500420991
417,51-56 Professional Services,0,-7034.4804882033195,-3123.572784994145,-10158.053273197464
472,"61-81 Educational, Health, Recreation Service",0,-330.34178272819594,-949.97545370293415,-1280.3172364311306
518,92 Government & non NAICs,0,-575.82244949169285,-203.58682899726114,-779.40927848895399
