Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-750480.07632335206,-55916.873917103265,-41535.317120681342,-847932.26736113662
1,"11 Ag, Forestry, Fish & Hunting",0,-16.270539223451539,-177.92407695831471,-194.19461618176624
20,21 Mining,0,-37.673685002019525,-42.328723519992892,-80.002408522012416
41,22 Utilities,0,-2764.5000524658508,-2198.1872658010216,-4962.6873182668724
52,23 Construction,0,-71.575122023154535,-32.655409666408424,-104.23053168956295
65,31-33 Manufacturing,0,-349.61436414443352,-690.09852474790648,-1039.7128888923401
395,42 Wholesale Trade,-750480.07632335206,-2733.7574591890443,-1153.7675860325323,-754367.60136857361
396,44-45 Retail trade,0,-127.70160878389162,-1685.2324912568588,-1812.9341000407503
408,48-49 Transportation & Warehousing,0,-5710.4568177667752,-1533.2302568226216,-7243.6870745893966
417,51-56 Professional Services,0,-39548.564827402311,-29752.820755331904,-69301.385582734205
472,"61-81 Educational, Health, Recreation Service",0,-583.81166050166803,-2536.3534234159874,-3120.1650839176555
518,92 Government & non NAICs,0,-3972.9477806006585,-1732.7186071277938,-5705.6663877284518
