Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-2537328.4193298402,-61509.189122124408,-118774.65888388577,-2717612.2673358503
1,"11 Ag, Forestry, Fish & Hunting",0,-3.5630389502859368,-106.6987408330567,-110.26177978334263
20,21 Mining,0,-47.998027294488438,-196.13408166468568,-244.1321089591741
41,22 Utilities,0,-4.7357459106975091,-16.371366425206119,-21.107112335903629
52,23 Construction,0,-26.986864559413277,-26.258541738684009,-53.245406298097286
65,31-33 Manufacturing,0,-444.06895639372169,-426.14767016806587,-870.21662656178785
395,42 Wholesale Trade,-2537328.4193298402,-5846.8053752952255,-3299.9399460370059,-2546475.1646511722
396,44-45 Retail trade,0,-79.62470366751721,-1553.0716184633798,-1632.696322130897
408,48-49 Transportation & Warehousing,0,-6299.2596318084825,-3586.4454623552288,-9885.7050941637099
417,51-56 Professional Services,0,-47649.940014693704,-103484.22939128982,-151134.16940598353
472,"61-81 Educational, Health, Recreation Service",0,-725.89210342739466,-5849.0577510738412,-6574.9498545012384
518,92 Government & non NAICs,0,-380.31466012347488,-230.30431383680309,-610.61897396027803
