Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.7561079263687134,-0.035420488809125239,-0.046683425925373785,-1.8382118411032125
1,"11 Ag, Forestry, Fish & Hunting",0,-5.5604252173476374E-05,-0.0069186635091705194,-0.0069742677613439958
20,21 Mining,0,-0.00024874834070201892,-0.00041547997610952129,-0.00066422831681154022
41,22 Utilities,0,-0.0001535380369806599,-0.00068031060640502206,-0.00083384864338568196
52,23 Construction,0,-0.0001247844428432417,-9.7148914391886548E-05,-0.00022193335723512826
65,31-33 Manufacturing,0,-0.00097641976072282844,-0.00036005849697050562,-0.0013364782576933342
395,42 Wholesale Trade,-1.7561079263687134,-0.0028801600560917572,-0.0020367893749966546,-1.7610248757998017
396,44-45 Retail trade,0,-0.00024941747256012578,-0.0071135909820439699,-0.0073630084546040947
408,48-49 Transportation & Warehousing,0,-0.0057132417261592213,-0.0030996069123519743,-0.0088128486385111952
417,51-56 Professional Services,0,-0.019320080799313737,-0.0067183557428657902,-0.026038436542179525
472,"61-81 Educational, Health, Recreation Service",0,-0.0030150693490884548,-0.015662901462334317,-0.018677970811422768
518,92 Government & non NAICs,0,-0.0026834245724897164,-0.0035805199477336237,-0.0062639445202233406
