Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-26283091.3959729,-5142731.8771884227,-4346066.325437218,-35771889.59859854
1,"11 Ag, Forestry, Fish & Hunting",0,-275.30880651504935,-6657.4253533353303,-6932.7341598503799
20,21 Mining,0,-3750.3648905029786,-5219.0451240292905,-8969.41001453227
41,22 Utilities,0,-28623.92002922768,-54872.956558599333,-83496.876587827006
52,23 Construction,0,-19381.273643213772,-14843.266930009308,-34224.540573223079
65,31-33 Manufacturing,0,-178209.32248404756,-104336.52458776248,-282545.8470718101
395,42 Wholesale Trade,-26283091.3959729,-335078.86044291407,-206719.87321529811,-26824890.129631113
396,44-45 Retail trade,0,-14850.222316789783,-314496.78835585946,-329347.01067264919
408,48-49 Transportation & Warehousing,0,-474543.45911383448,-102619.67616560182,-577163.13527943625
417,51-56 Professional Services,0,-3713083.938566505,-2490004.9284590269,-6203088.8670255318
472,"61-81 Educational, Health, Recreation Service",0,-215136.54654574237,-1013742.2607098563,-1228878.8072555985
518,92 Government & non NAICs,0,-159798.66034912973,-32553.579977838948,-192352.24032696869
