Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-0.85728836059570312,-0.028945637820297632,-0.008449446805181858,-0.89468344522118248
1,"11 Ag, Forestry, Fish & Hunting",0,-9.5872313869215841E-06,-0.00041818994586781887,-0.00042777717725474046
20,21 Mining,0,-1.8643346762166298E-05,-1.6010213237260851E-05,-3.4653559999427149E-05
41,22 Utilities,0,0,0,0
52,23 Construction,0,-6.6848752322836929E-05,-1.5972437821063369E-05,-8.2821190143900312E-05
65,31-33 Manufacturing,0,-5.4111131211719953E-05,-4.9625624360505829E-05,-0.00010373675557222581
395,42 Wholesale Trade,-0.85728836059570312,-0.00064169329557144247,-0.00019726984850054749,-0.85812732373977507
396,44-45 Retail trade,0,-0.00017769329002605722,-0.0021435600006476899,-0.0023212532906737469
408,48-49 Transportation & Warehousing,0,-0.00072560790601166637,-0.00033810664321542002,-0.0010637145492270862
417,51-56 Professional Services,0,-0.026299222633976545,-0.0019794006260201108,-0.028278623259996648
472,"61-81 Educational, Health, Recreation Service",0,-0.00066852459023723667,-0.0032849180395892242,-0.0039534426298264607
518,92 Government & non NAICs,0,-0.00028370564279103886,-6.3934259222157997E-06,-0.00029009906871325464
