Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.135730504989624,-0.11923162548057739,-0.038041425518083122,-1.2930035559882847
1,"11 Ag, Forestry, Fish & Hunting",0,-4.4836898971327035E-05,-0.00096634643815263969,-0.0010111833371239667
20,21 Mining,0,-0.000193498705199803,-6.1224879951801036E-05,-0.00025472358515160403
41,22 Utilities,0,0,0,0
52,23 Construction,0,-0.0012905194895619719,-0.00030749263323324658,-0.0015980121227952187
65,31-33 Manufacturing,0,-0.00028776417301730055,-2.715414261707039E-05,-0.00031491831563437104
395,42 Wholesale Trade,-1.135730504989624,-0.00081084842427196747,-0.00018336236704304457,-1.136724715780939
396,44-45 Retail trade,0,-0.00077974916011903743,-0.0075371054343578211,-0.0083168545944768586
408,48-49 Transportation & Warehousing,0,-0.0037135541726900302,-0.00041037822102420223,-0.0041239323937142325
417,51-56 Professional Services,0,-0.068980924906381177,-0.0083995527367717975,-0.077380477643152951
472,"61-81 Educational, Health, Recreation Service",0,-0.012942422351901638,-0.014432804506103179,-0.027375226858004816
518,92 Government & non NAICs,0,-0.030187507198463144,-0.005716004158828324,-0.035903511357291466
