Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-6.9044537544250488,-0.37829752003223499,-0.23004310837039382,-7.5127943828276784
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00011963330666286296,-0.0017795289899958898,-0.0018991622966587527
20,21 Mining,0,-3.0367779532679454E-05,-3.8144843323920482E-05,-6.8512622856599939E-05
41,22 Utilities,0,-0.00042817201317727784,-0.0010373034860666642,-0.0014654754992439421
52,23 Construction,0,-0.00081779883163066668,-0.00035978765839575206,-0.0011775864900264188
65,31-33 Manufacturing,0,-0.018207156893157356,-0.0020145614900347985,-0.020221718383192158
395,42 Wholesale Trade,-6.9044537544250488,-0.0070298835279569306,-0.0029337840028490349,-6.9144174219558545
396,44-45 Retail trade,0,-0.00212523519247003,-0.041676455979232162,-0.043801691171702198
408,48-49 Transportation & Warehousing,0,-0.031858720234552787,-0.0062444388891076483,-0.038103159123660434
417,51-56 Professional Services,0,-0.28929288702616474,-0.062132305133168544,-0.35142519215933332
472,"61-81 Educational, Health, Recreation Service",0,-0.021160311466948085,-0.11062424513066392,-0.13178455659761207
518,92 Government & non NAICs,0,-0.0072273537599815436,-0.0012025527675554829,-0.0084299065275370254
