Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-777397.35422201303,-33978.621477671841,-41173.467311542925,-852549.44301122788
1,"11 Ag, Forestry, Fish & Hunting",0,-6.6524389123540884,-127.77756649582631,-134.43000540818039
20,21 Mining,0,-3.5648924725164854,-5.271642273383474,-8.836534745899959
41,22 Utilities,0,-251.93567239980973,-610.98916154543417,-862.9248339452439
52,23 Construction,0,-52.832630366529926,-25.201917865989909,-78.034548232519839
65,31-33 Manufacturing,0,-3634.6284160726277,-1789.1839711307305,-5423.8123872033584
395,42 Wholesale Trade,-777397.35422201303,-791.51997594954446,-330.3253367059844,-778519.19953466859
396,44-45 Retail trade,0,-82.322107989727954,-1710.5336444750844,-1792.8557524648124
408,48-49 Transportation & Warehousing,0,-2296.4482431207039,-455.82523667422959,-2752.2734797949333
417,51-56 Professional Services,0,-25304.541763728739,-30987.723398047005,-56292.265161775736
472,"61-81 Educational, Health, Recreation Service",0,-1100.4089712746109,-5074.2309143011817,-6174.6398855757934
518,92 Government & non NAICs,0,-453.76636538467278,-56.404522028072918,-510.17088741274574
