Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.1654465198516846,-0.12934446359568866,-0.082872889275590861,-1.377663872722964
1,"11 Ag, Forestry, Fish & Hunting",0,-1.3346096897675251E-05,-0.00013605443650928259,-0.00014940053340695787
20,21 Mining,0,-5.0246924204540195E-05,-8.7624013753694174E-05,-0.00013787093795823436
41,22 Utilities,0,-0.0005041646502889867,-0.0004555399840321125,-0.00095970463432109914
52,23 Construction,0,-0.0008482315146855963,-0.00039642038482577658,-0.0012446518995113728
65,31-33 Manufacturing,0,-9.174488764355704E-05,-8.4799967121011326E-05,-0.00017654485476456839
395,42 Wholesale Trade,-1.1654465198516846,-0.0012380234620041476,-0.0005377706249626176,-1.1672223139386513
396,44-45 Retail trade,0,-0.00094730843734013731,-0.02015643113033325,-0.021103739567673384
408,48-49 Transportation & Warehousing,0,-0.025315948314862551,-0.0018373523181681019,-0.02715330063303065
417,51-56 Professional Services,0,-0.065916416582027321,-0.021158633312308512,-0.087075049894335843
472,"61-81 Educational, Health, Recreation Service",0,-0.012157504413090776,-0.02996886661628187,-0.042126371029372639
518,92 Government & non NAICs,0,-0.022261528312643351,-0.0080533964872946361,-0.030314924799937984
