Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-99.270126342773438,-3.9183276725152156,-1.9445790791784985,-105.13303309446714
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00042074208678256111,-0.01028249921494288,-0.010703241301725439
20,21 Mining,0,-0.0010987075428081673,-0.0013284352487950796,-0.0024271427916032467
41,22 Utilities,0,-0.022697589820467243,-0.020531628363450769,-0.043229218183918013
52,23 Construction,0,-0.002278854248215844,-0.0034480016085591866,-0.0057268558567750306
65,31-33 Manufacturing,0,-0.088625205397615661,-0.080145910701970718,-0.16877111609958645
395,42 Wholesale Trade,-99.270126342773438,-0.45294334285211696,-0.26969771261302949,-99.992767398238584
396,44-45 Retail trade,0,-0.013561890004269989,-0.24873917519355343,-0.26230106519782342
408,48-49 Transportation & Warehousing,0,-0.92197348875549012,-0.18726399955758141,-1.1092374883130716
417,51-56 Professional Services,0,-2.3303187492650026,-0.68941703139836263,-3.0197357806633653
472,"61-81 Educational, Health, Recreation Service",0,-0.063779645301595314,-0.42045692591277817,-0.48423657121437341
518,92 Government & non NAICs,0,-0.020629457240850753,-0.013267759365474549,-0.033897216606325303
