Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-13744829.745601701,-543118.23282747238,-749503.2808003173,-15037451.259229491
1,"11 Ag, Forestry, Fish & Hunting",0,-13.023597187694115,-546.72484760090674,-559.74844478860086
20,21 Mining,0,-195.64841222138259,-233.84875557446057,-429.49716779584315
41,22 Utilities,0,-34720.887326766584,-29306.971641416134,-64027.858968182714
52,23 Construction,0,-237.19135251266278,-371.89351368561728,-609.08486619828
65,31-33 Manufacturing,0,-15438.057501322835,-33930.469720079447,-49368.527221402263
395,42 Wholesale Trade,-13744829.745601701,-62714.023412812501,-37342.04052253344,-13844885.809537046
396,44-45 Retail trade,0,-400.49607738610308,-8251.7494878113321,-8652.2455651974342
408,48-49 Transportation & Warehousing,0,-69027.504527184748,-18988.236954802593,-88015.741481987337
417,51-56 Professional Services,0,-355543.6687388423,-599094.1288006918,-954637.79753953393
472,"61-81 Educational, Health, Recreation Service",0,-3489.7207485516783,-20883.70737579072,-24373.428124342394
518,92 Government & non NAICs,0,-1338.0111326839772,-553.50918033087191,-1891.5203130148491
