Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-5.7917251586914062,-1.0980331578733635,-1.4238565277601918,-8.3136148443249631
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00014931271583805281,-0.0031839672816243473,-0.0033332799974623998
20,21 Mining,0,-0.00079092181366499789,-0.00058280269393806618,-0.0013737245076030642
41,22 Utilities,0,-0.0063159586292895467,-0.0057944511099317269,-0.012110409739221274
52,23 Construction,0,-0.0106961103350839,-0.0068451740940574874,-0.01754128442914139
65,31-33 Manufacturing,0,-0.016775766552632035,-0.0021280787549610787,-0.01890384530759311
395,42 Wholesale Trade,-5.7917251586914062,-0.01880655408054549,-0.010450528146165322,-5.8209822409181173
396,44-45 Retail trade,0,-0.015539514938196272,-0.31249599844689552,-0.32803551338509185
408,48-49 Transportation & Warehousing,0,-0.16817891221394185,-0.017681556030899864,-0.1858604682448417
417,51-56 Professional Services,0,-0.59229866517390084,-0.25625809437589914,-0.84855675954980014
472,"61-81 Educational, Health, Recreation Service",0,-0.18001447478693705,-0.79062955950709524,-0.97064403429403245
518,92 Government & non NAICs,0,-0.088466966633333602,-0.017806317318723869,-0.10627328395205746
