Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-2.0329098701477051,-0.1336029297222594,-0.1520253599478392,-2.3185381598178028
1,"11 Ag, Forestry, Fish & Hunting",0,-6.1660736500204901E-05,-0.002941898227534853,-0.0030035589640350574
20,21 Mining,0,-0.00011244697649200107,-0.00031374266345286284,-0.00042618963994486397
41,22 Utilities,0,-0.00022979390208661778,-0.001098229282201453,-0.0013280231842880707
52,23 Construction,0,-0.00044381571914201592,-0.00031491136451600621,-0.00075872708365802219
65,31-33 Manufacturing,0,-0.0020811064970900467,-0.00068064008188485213,-0.0027617465789748982
395,42 Wholesale Trade,-2.0329098701477051,-0.001910379934367978,-0.0016412545355929528,-2.036461504617666
396,44-45 Retail trade,0,-0.0010287486391863218,-0.037456536046208286,-0.038485284685394611
408,48-49 Transportation & Warehousing,0,-0.03069361854632131,-0.0047284491893154132,-0.03542206773563672
417,51-56 Professional Services,0,-0.07922232447491466,-0.040518185342576563,-0.11974050981749122
472,"61-81 Educational, Health, Recreation Service",0,-0.013231582217564594,-0.058708621067024,-0.071940203284588597
518,92 Government & non NAICs,0,-0.0045874520785936625,-0.0036228921475319345,-0.008210344226125597
