Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-117616.857608999,-1865.3845237915391,-3689.5767974779496,-123171.81893026849
1,"11 Ag, Forestry, Fish & Hunting",0,-9.4965969491367854,-71.720355184019468,-81.216952133156269
20,21 Mining,0,-1.6197552705696476,-3.2679396567250554,-4.887694927294703
41,22 Utilities,0,0,0,0
52,23 Construction,0,-0.90406568827675349,-0.3753362474771918,-1.2794019357539452
65,31-33 Manufacturing,0,-32.967797344153169,-73.779008399755625,-106.74680574390884
395,42 Wholesale Trade,-117616.857608999,-124.73101202126418,-41.870830741682177,-117783.45945176194
396,44-45 Retail trade,0,-0.25179968089800081,-7.6118462145451256,-7.8636458954431276
408,48-49 Transportation & Warehousing,0,-790.64512874013053,-176.13135380074587,-966.77648254087626
417,51-56 Professional Services,0,-890.13807524787546,-3284.2298059747031,-4174.3678812225771
472,"61-81 Educational, Health, Recreation Service",0,-7.4775489866526614,-30.388811155537994,-37.866360142190651
518,92 Government & non NAICs,0,-7.1527438625819704,-0.20151010275785805,-7.3542539653398284
