Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-11.233407020568848,-0.45843422584208726,-0.3817881293145699,-12.073629375725506
1,"11 Ag, Forestry, Fish & Hunting",0,-5.5629762346923719E-05,-0.0017733503689483215,-0.0018289801312952451
20,21 Mining,0,-3.1060799624455372E-05,-0.00053648165072492338,-0.00056754245034937865
41,22 Utilities,0,-0.000855439317743758,-0.0027058715343507614,-0.0035613108520945193
52,23 Construction,0,-0.0015502772628477042,-0.001086958467080065,-0.0026372357299277692
65,31-33 Manufacturing,0,-0.0036685395443024939,-0.00092501001225816202,-0.0045935495565606549
395,42 Wholesale Trade,-11.233407020568848,-0.013478307207953875,-0.0072833162651981575,-11.254168644042
396,44-45 Retail trade,0,-0.0027628479737709048,-0.078673096700317927,-0.081435944674088823
408,48-49 Transportation & Warehousing,0,-0.070458904740648504,-0.017333117023331693,-0.087792021763980196
417,51-56 Professional Services,0,-0.31846005671836419,-0.087574858809103623,-0.40603491552746784
472,"61-81 Educational, Health, Recreation Service",0,-0.037122154624059149,-0.18125216575494066,-0.21837432037899976
518,92 Government & non NAICs,0,-0.0099910078904252627,-0.0026439027283155885,-0.012634910618740849
