Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1426725.48960719,-39482.681910214073,-76616.95643393838,-1542825.1279513426
1,"11 Ag, Forestry, Fish & Hunting",0,-3.4709741796724289,-159.67846129458491,-163.14943547425733
20,21 Mining,0,-3.8789980124759045,-76.688823780995577,-80.567821793471509
41,22 Utilities,0,-498.18942629078248,-1581.6665494751853,-2079.8559757659677
52,23 Construction,0,-130.39708234917168,-97.439554652972816,-227.83663700214447
65,31-33 Manufacturing,0,-454.52744432141526,-164.87617747930386,-619.40362180071929
395,42 Wholesale Trade,-1426725.48960719,-1711.8444505806547,-925.03489778343032,-1429362.3689555542
396,44-45 Retail trade,0,-99.968058570180375,-3163.4173847958054,-3263.3854433659858
408,48-49 Transportation & Warehousing,0,-5006.9362841828106,-1763.8213841374554,-6770.7576683202651
417,51-56 Professional Services,0,-29097.846925918304,-59490.033845999693,-88587.880771918033
472,"61-81 Educational, Health, Recreation Service",0,-1815.6119525674039,-9071.002501586885,-10886.614454154287
518,92 Government & non NAICs,0,-660.01031324120208,-123.29685295205613,-783.30716619325813
