Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-3.9557034969329834,-0.35449834452300244,-0.094243902994153153,-4.4044457444501379
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00019271076941503759,-0.0014896952565883511,-0.0016824060260033887
20,21 Mining,0,-0.00029477390330009717,-0.00017898538217728775,-0.00047375928547738492
41,22 Utilities,0,-0.0050213775529646043,-0.0018268215034019939,-0.0068481990563665999
52,23 Construction,0,-0.00065895005686480437,-0.00014299172691748435,-0.00080194178378228866
65,31-33 Manufacturing,0,-0.012336595000095731,-0.0007707101239789768,-0.013107305124074712
395,42 Wholesale Trade,-3.9557034969329834,-0.0060213060270283801,-0.0014907079122129779,-3.9632155108722245
396,44-45 Retail trade,0,-0.0016383687549513385,-0.016037164543757157,-0.017675533298708499
408,48-49 Transportation & Warehousing,0,-0.026106824558262059,-0.0033495602486040468,-0.029456384806866104
417,51-56 Professional Services,0,-0.27931254561707114,-0.028160276760805635,-0.30747282237787682
472,"61-81 Educational, Health, Recreation Service",0,-0.018300403544448066,-0.040699938786986571,-0.059000342331434655
518,92 Government & non NAICs,0,-0.0046144887386012226,-9.7050748722673407E-05,-0.0047115394873238963
