Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-70290221.975918397,-7321590.1688403506,-7845954.0507201012,-85457766.195478827
1,"11 Ag, Forestry, Fish & Hunting",0,-34.331835619792436,-1078.1226081929619,-1112.4544438127543
20,21 Mining,0,-2359.3262213426642,-4428.9496028063031,-6788.2758241489682
41,22 Utilities,0,-133204.7757078876,-133190.46728650096,-266395.24299438857
52,23 Construction,0,-16154.76275789427,-19647.241592891838,-35802.004350786112
65,31-33 Manufacturing,0,-141686.76704544495,-207604.94650238301,-349291.71354782779
395,42 Wholesale Trade,-70290221.975918397,-655416.35426692665,-515215.92852470849,-71460854.258710027
396,44-45 Retail trade,0,-8359.0625569167551,-311890.77672180132,-320249.83927871811
408,48-49 Transportation & Warehousing,0,-298445.45722001593,-91383.948987793599,-389829.40620780946
417,51-56 Professional Services,0,-5773799.4667132851,-5597231.5437162649,-11371031.01042955
472,"61-81 Educational, Health, Recreation Service",0,-162830.84362514567,-922070.4189505172,-1084901.2625756629
518,92 Government & non NAICs,0,-129299.02088987068,-42211.7062262408,-171510.72711611149
