Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-309631.900590276,-19654.766376132022,-11945.573933559796,-341232.24089996773
1,"11 Ag, Forestry, Fish & Hunting",0,-8.8770663246258081,-207.32189700538629,-216.19896333001216
20,21 Mining,0,-13.212919000403467,-14.788163403349667,-28.001082403753131
41,22 Utilities,0,0,0,0
52,23 Construction,0,-22.474582327850829,-6.3986483694670877,-28.873230697317915
65,31-33 Manufacturing,0,-163.52250287287154,-59.962498834762094,-223.48500170763356
395,42 Wholesale Trade,-309631.900590276,-395.72281911713071,-130.69510969777474,-310158.31851909088
396,44-45 Retail trade,0,-41.810888294696881,-540.2053490617327,-582.01623735642954
408,48-49 Transportation & Warehousing,0,-1893.6799226345195,-253.43531556987,-2147.1152382043892
417,51-56 Professional Services,0,-16500.204366948379,-9670.5234865047314,-26170.727853453111
472,"61-81 Educational, Health, Recreation Service",0,-405.31671950225575,-1056.6917505982344,-1462.0084701004912
518,92 Government & non NAICs,0,-209.94458910929214,-5.5517145144856608,-215.49630362377781
