Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-2.3934497833251953,-0.21142960082742301,-0.15444765791055387,-2.7593270420631724
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00010020831222241181,-0.0013907973991379838,-0.0014910057113603956
20,21 Mining,0,-0.00020051412218257379,-0.00014823168074574967,-0.00034874580292832346
41,22 Utilities,0,0,0,0
52,23 Construction,0,-0.00063436753206692399,-0.00027322363539584272,-0.00090759116746276676
65,31-33 Manufacturing,0,-0.0010982829633734812,-0.0010882383601467116,-0.0021865213235201927
395,42 Wholesale Trade,-2.3934497833251953,-0.0048002480858117995,-0.0025125979011179416,-2.4007626293121249
396,44-45 Retail trade,0,-0.0015027907345773581,-0.03654272065564855,-0.038045511390225904
408,48-49 Transportation & Warehousing,0,-0.016394546345136166,-0.0036715817195073215,-0.020066128064643488
417,51-56 Professional Services,0,-0.17089167199219457,-0.044277663283976608,-0.21516933527617124
472,"61-81 Educational, Health, Recreation Service",0,-0.011313023447741391,-0.064334423193455323,-0.075647446641196714
518,92 Government & non NAICs,0,-0.0044939472921163379,-0.00020818008142181157,-0.0047021273735381496
