Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-273503.83939778397,-16896.476610067395,-19393.725592999468,-309794.04160085082
1,"11 Ag, Forestry, Fish & Hunting",0,-7.4089652757840847,-115.26194266090633,-122.67090793669044
20,21 Mining,0,-1.6657719708185415,-3.6349235145551058,-5.3006954853736481
41,22 Utilities,0,0,0,0
52,23 Construction,0,-37.420917837736361,-17.048316345324753,-54.469234183061118
65,31-33 Manufacturing,0,-110.64587558482428,-185.46974519413951,-296.11562077896372
395,42 Wholesale Trade,-273503.83939778397,-548.5330336127663,-287.11910807755902,-274339.49153947429
396,44-45 Retail trade,0,-77.135280493841236,-1691.9742914180151,-1769.1095719118566
408,48-49 Transportation & Warehousing,0,-1116.7425870226543,-347.67406998553037,-1464.4166570081848
417,51-56 Professional Services,0,-14060.950759121673,-13637.34480832627,-27698.295567447953
472,"61-81 Educational, Health, Recreation Service",0,-661.86935021215538,-3095.5006401117148,-3757.3699903238689
518,92 Government & non NAICs,0,-274.1040689351376,-12.697747365455655,-286.80181630059326
