Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-4917319.5194990505,-413944.276922989,-471496.95433955896,-5802760.7507615983
1,"11 Ag, Forestry, Fish & Hunting",0,-81.423474542552967,-1895.2966930451075,-1976.7201675876604
20,21 Mining,0,-46.834505257875762,-68.522771429277498,-115.35727668715323
41,22 Utilities,0,-4934.0523624505331,-6614.2464589667961,-11548.298821417329
52,23 Construction,0,-2270.4014466220056,-1512.158759792977,-3782.5602064149825
65,31-33 Manufacturing,0,-15541.835821912786,-8113.6074335723406,-23655.443255485134
395,42 Wholesale Trade,-4917319.5194990505,-17694.150173196569,-10071.153170374208,-4945084.8228426212
396,44-45 Retail trade,0,-1420.0441268163629,-37485.67661800253,-38905.720744818886
408,48-49 Transportation & Warehousing,0,-26892.806545343261,-11178.396390073107,-38071.202935416368
417,51-56 Professional Services,0,-303457.48033675679,-280955.90575194499,-584413.38608870178
472,"61-81 Educational, Health, Recreation Service",0,-23097.87182918478,-106633.10439644483,-129730.97622562959
518,92 Government & non NAICs,0,-18507.376300905507,-6968.8858959127847,-25476.262196818294
