Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.1223589181900024,-0.077857571201828402,-0.083361961536598778,-1.2835784509284296
1,"11 Ag, Forestry, Fish & Hunting",0,-3.7633217033933845E-05,-0.0010539370183397321,-0.0010915702353736661
20,21 Mining,0,-3.542181026890236E-05,-0.0001374653943824611,-0.00017288720465136342
41,22 Utilities,0,-0.00097371250441176892,-0.0013470054290338125,-0.0023207179334455816
52,23 Construction,0,-0.00022105788446739422,-0.0001075694164186135,-0.00032862730088600774
65,31-33 Manufacturing,0,-0.0017977944685827066,-0.00024136138649557927,-0.0020391558550782859
395,42 Wholesale Trade,-1.1223589181900024,-0.00081254076642973819,-0.00043511718159920128,-1.1236065761380314
396,44-45 Retail trade,0,-0.00061306686452150083,-0.015818687209192887,-0.016431754073714389
408,48-49 Transportation & Warehousing,0,-0.010422407310125878,-0.0011964313224433318,-0.01161883863256921
417,51-56 Professional Services,0,-0.053770852305262851,-0.020939514545059192,-0.074710366850322035
472,"61-81 Educational, Health, Recreation Service",0,-0.0055597079798178108,-0.041920640147911727,-0.047480348127729548
518,92 Government & non NAICs,0,-0.0036133760909059266,-0.00016423248572224798,-0.0037776085766281745
