Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-132609.55838416101,-7333.3931670764141,-10671.103731693132,-150614.05528293055
1,"11 Ag, Forestry, Fish & Hunting",0,-0.97547727941310791,-57.829196720761026,-58.804674000174138
20,21 Mining,0,-4.9947246742677081,-17.967308304521818,-22.96203297878953
41,22 Utilities,0,-1185.0545219865978,-1168.9715261035688,-2354.0260480901666
52,23 Construction,0,-12.999918670057854,-6.6803588467839194,-19.680277516841773
65,31-33 Manufacturing,0,-171.20920511170903,-34.693643133449783,-205.90284824515879
395,42 Wholesale Trade,-132609.55838416101,-96.003752716409508,-51.410198762652414,-132756.97233564008
396,44-45 Retail trade,0,-26.547551855139723,-642.45000866921146,-668.99756052435112
408,48-49 Transportation & Warehousing,0,-1026.8044501956094,-118.68531999645742,-1145.4897701920668
417,51-56 Professional Services,0,-4190.7888114969437,-6563.6169234248473,-10754.405734921791
472,"61-81 Educational, Health, Recreation Service",0,-396.89065998060971,-1998.7488797229985,-2395.6395397036085
518,92 Government & non NAICs,0,-221.12409310965646,-10.050368007879245,-231.17446111753571
