Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-3327959.06433617,-220415.8165779938,-203502.32214914207,-3751877.2030633059
1,"11 Ag, Forestry, Fish & Hunting",0,-25.245732554395861,-274.23582707554755,-299.48155962994343
20,21 Mining,0,-36.831582221960105,-31.095559553158328,-67.927141775118429
41,22 Utilities,0,-25837.21565644128,-14995.464217982797,-40832.679874424073
52,23 Construction,0,-338.25777778716974,-183.19338729039151,-521.45116507756131
65,31-33 Manufacturing,0,-2990.2604854374154,-1521.4710927190088,-4511.7315781564248
395,42 Wholesale Trade,-3327959.06433617,-16484.660511171445,-6803.7440513177489,-3351247.4688986591
396,44-45 Retail trade,0,-331.02308903177629,-6371.0123260197524,-6702.0354150515286
408,48-49 Transportation & Warehousing,0,-31789.978324414442,-5535.9003981217993,-37325.878722536239
417,51-56 Professional Services,0,-134055.87338316109,-146587.54859969023,-280643.4219828514
472,"61-81 Educational, Health, Recreation Service",0,-3963.8398828559293,-20789.227426121644,-24753.067308977577
518,92 Government & non NAICs,0,-4562.6301529168923,-409.42926325001247,-4972.0594161669051
