Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-5.2067255973815918,-0.14249116539943871,-0.079699875887092694,-5.4289166386681238
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00023395937865443525,-0.001045094667418928,-0.0012790540460733634
20,21 Mining,0,-7.5544089882954887E-05,-0.00012841177690836575,-0.00020395586679132063
41,22 Utilities,0,-4.0294883732845567E-06,-1.0144646122287096E-05,-1.4174134495571652E-05
52,23 Construction,0,-0.00015214085757208574,-7.308225210654952E-05,-0.00022522310967863527
65,31-33 Manufacturing,0,-0.0017424105427774764,-0.0010242231107964336,-0.0027666336535739113
395,42 Wholesale Trade,-5.2067255973815918,-0.0082477295678159389,-0.0035083320068224778,-5.2184816589562297
396,44-45 Retail trade,0,-0.0008440221331580647,-0.013657426582653147,-0.014501448715811213
408,48-49 Transportation & Warehousing,0,-0.01397679708454808,-0.010112110807327915,-0.024088907891875993
417,51-56 Professional Services,0,-0.10890945220450882,-0.019953033632256555,-0.12886248583676535
472,"61-81 Educational, Health, Recreation Service",0,-0.006739668583608683,-0.030135081042074512,-0.036874749625683198
518,92 Government & non NAICs,0,-0.0015654114685388725,-5.2935362605512674E-05,-0.0016183468311443852
