Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-7141791.8140625302,-488065.99798456172,-499804.72245451796,-8129662.5345016103
1,"11 Ag, Forestry, Fish & Hunting",0,-8.4312644015373692,-343.33796280875123,-351.76922721028865
20,21 Mining,0,-62.090122900489199,-276.27853729873499,-338.36866019922417
41,22 Utilities,0,-29121.123751571206,-29732.744424614371,-58853.868176185577
52,23 Construction,0,-675.46721255294415,-583.84718094755317,-1259.3143935004973
65,31-33 Manufacturing,0,-22221.941190045993,-3183.0921986245858,-25405.033388670603
395,42 Wholesale Trade,-7141791.8140625302,-21853.763350864872,-13755.63426365229,-7177401.2116770474
396,44-45 Retail trade,0,-607.38797063548236,-17656.730272769732,-18264.11824340521
408,48-49 Transportation & Warehousing,0,-31736.252959695725,-9811.1108998522177,-41547.363859547942
417,51-56 Professional Services,0,-365727.68724903715,-371129.97916474199,-736857.66641377937
472,"61-81 Educational, Health, Recreation Service",0,-8412.7933497738632,-48678.21867497194,-57091.012024745789
518,92 Government & non NAICs,0,-7639.0595630824464,-4653.7488742357991,-12292.808437318245
