Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-3.1301772594451904,-0.4392623112909525,-0.275019979134278,-3.8444595498704208
1,"11 Ag, Forestry, Fish & Hunting",0,-0.0005033297774171097,-0.0069882044088362388,-0.0074915341862533472
20,21 Mining,0,-8.5252224124344263E-05,-0.00012788375333914513,-0.00021313597746348937
41,22 Utilities,0,-0.00011464484988556588,-0.00028239803100986189,-0.00039704288089542779
52,23 Construction,0,-0.00078071413238248351,-0.00031524845790963221,-0.0010959625902921158
65,31-33 Manufacturing,0,-0.014987534567786891,-0.0019438262473884748,-0.016931360815175361
395,42 Wholesale Trade,-3.1301772594451904,-0.0087745327566512432,-0.0041287669449976572,-3.1430805591468394
396,44-45 Retail trade,0,-0.0028191547176140384,-0.053704411688279698,-0.056523566405893726
408,48-49 Transportation & Warehousing,0,-0.067005825145651801,-0.009240048634752477,-0.076245873780404261
417,51-56 Professional Services,0,-0.30693865312205165,-0.058349176260009329,-0.36528782938206095
472,"61-81 Educational, Health, Recreation Service",0,-0.025458585759813704,-0.13611063326753681,-0.16156921902735044
518,92 Government & non NAICs,0,-0.011794084237573688,-0.0038293814402187249,-0.015623465677792412
