Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-2527675.4468501499,-62513.182167723382,-106314.46264316654,-2696503.0916610393
1,"11 Ag, Forestry, Fish & Hunting",0,-37.095851127470944,-1537.0608303119182,-1574.1566814393896
20,21 Mining,0,-27.892087742099374,-70.319234628021462,-98.211322370120826
41,22 Utilities,0,-4740.7906070310846,-2826.4620195602643,-7567.2526265913493
52,23 Construction,0,-136.57984399994706,-143.52711948359686,-280.10696348354395
65,31-33 Manufacturing,0,-2094.0609553933791,-2715.3505553843147,-4809.4115107776952
395,42 Wholesale Trade,-2527675.4468501499,-3693.6099085197784,-1399.6784412615327,-2532768.7351999311
396,44-45 Retail trade,0,-106.44640918060959,-1984.4108122294986,-2090.8572214101087
408,48-49 Transportation & Warehousing,0,-11023.632159626593,-2561.2804065943969,-13584.912566220994
417,51-56 Professional Services,0,-37225.935860032216,-85311.608863669549,-122537.54472370174
472,"61-81 Education, Health, Recreation Service",0,-2378.3469806318039,-7665.0735397359686,-10043.420520367774
518,92 Government & non NAICs,0,-1048.7915044384019,-99.690820307483918,-1148.482324745886
