Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-4.7216310501098633,-0.88109027475202284,-0.56273766273708559,-6.1654589875989707
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00016671326507516717,-0.0031507151313285354,-0.0033174283964037027
20,21 Mining,0,-0.00020508001094080391,-0.00037974896831030435,-0.00058482897925110828
41,22 Utilities,0,-0.0058096676892072608,-0.0037241379377721119,-0.0095338056269793723
52,23 Construction,0,-0.002265493636666041,-0.0022989306357580701,-0.0045644242724241111
65,31-33 Manufacturing,0,-0.010288707122382893,-0.0025227164298639981,-0.012811423552246891
395,42 Wholesale Trade,-4.7216310501098633,-0.022857837183335974,-0.0091353061803735799,-4.7536241934735726
396,44-45 Retail trade,0,-0.0071848887436272921,-0.11394783476952278,-0.12113272351315008
408,48-49 Transportation & Warehousing,0,-0.10188487238730323,-0.0085445765123259975,-0.11042944889962925
417,51-56 Professional Services,0,-0.61166155894992358,-0.15422740470954929,-0.76588896365947279
472,"61-81 Education, Health, Recreation Service",0,-0.065503330509515623,-0.25202001563300236,-0.31752334614251798
518,92 Government & non NAICs,0,-0.053262125254044994,-0.012786275829278632,-0.066048401083323632
