Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-13.275067329406738,-0.37995924178136858,-0.2469169043289268,-13.901943475517035
1,"11 Ag, Forestry, Fish & Hunting",0,-8.4673160444274898E-05,-0.0024720290552681483,-0.0025567022157124229
20,21 Mining,0,-0.00026508121673719554,-0.00026469631196930757,-0.0005297775287065031
41,22 Utilities,0,-0.013790013372772641,-0.0081438354588749592,-0.0219338488316476
52,23 Construction,0,-0.00039654062300488159,-0.000315731191385365,-0.00071227181439024664
65,31-33 Manufacturing,0,-0.0044780643364052677,-0.0028549848559934216,-0.0073330491923986911
395,42 Wholesale Trade,-13.275067329406738,-0.045769390157907479,-0.01891805595573581,-13.339754775520381
396,44-45 Retail trade,0,-0.0022021898806371541,-0.031330428886713439,-0.0335326187673506
408,48-49 Transportation & Warehousing,0,-0.090269624033662149,-0.031817908161626246,-0.12208753219528841
417,51-56 Professional Services,0,-0.19869708160475913,-0.074087976495344737,-0.27278505810010384
472,"61-81 Education, Health, Recreation Service",0,-0.012781169027429115,-0.068314345606806964,-0.08109551463423606
518,92 Government & non NAICs,0,-0.011225414367609345,-0.0083969123492083908,-0.019622326716817736
