Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-131994.059973661,-6131.4810277472707,-4202.9819746473149,-142328.5229760556
1,"11 Ag, Forestry, Fish & Hunting",0,-0.67639404201174436,-38.592698708503356,-39.269092750515092
20,21 Mining,0,-17.564314559617998,-10.316333087882384,-27.880647647500382
41,22 Utilities,0,-1.6706284482283056,-1.782628361352357,-3.4532568095806626
52,23 Construction,0,-10.71501302988235,-7.3864373545863691,-18.10145038446872
65,31-33 Manufacturing,0,-49.912354288715477,-30.19821433270647,-80.110568621421947
395,42 Wholesale Trade,-131994.059973661,-169.22904432020732,-34.82477910311907,-132198.11379708434
396,44-45 Retail trade,0,-15.100595096754004,-128.23610266310124,-143.33669775985524
408,48-49 Transportation & Warehousing,0,-348.36684840125713,-119.07054326083673,-467.43739166209383
417,51-56 Professional Services,0,-5085.8473496060624,-3361.8615710214867,-8447.7089206275468
472,"61-81 Education, Health, Recreation Service",0,-286.52187331953968,-468.48257801868499,-755.00445133822507
518,92 Government & non NAICs,0,-145.87661263499336,-2.2300887350553569,-148.10670137004871
