Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-3662430.5923150498,-374888.29252786282,-311764.55789294798,-4349083.4427358601
1,"11 Ag, Forestry, Fish & Hunting",0,-27.816680454135781,-1351.7421519946254,-1379.5588324487612
20,21 Mining,0,-88.401771188268981,-398.02479870414237,-486.42656989241135
41,22 Utilities,0,-19096.382226838607,-13647.753800394965,-32744.13602723357
52,23 Construction,0,-645.51137156114726,-714.43104670824641,-1359.9424182693938
65,31-33 Manufacturing,0,-23266.618212304958,-1737.4588043390797,-25004.077016644078
395,42 Wholesale Trade,-3662430.5923150498,-7109.9617714704946,-3224.7564259749111,-3672765.3105124952
396,44-45 Retail trade,0,-1069.7654105792271,-18454.411141712659,-19524.17655229189
408,48-49 Transportation & Warehousing,0,-27824.353985412479,-6116.2260438792146,-33940.580029291697
417,51-56 Professional Services,0,-265108.29322222335,-198789.68824983496,-463897.98147205857
472,"61-81 Education, Health, Recreation Service",0,-15589.397500766521,-65192.857471755589,-80782.254972522118
518,92 Government & non NAICs,0,-15061.790375063672,-2137.2079576495794,-17198.998332713254
