Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-6.4929957389831543,-0.33936001991534448,-0.1440059280914705,-6.9763616869899687
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00046430692737261582,-0.01445912423407714,-0.014923431161449756
20,21 Mining,0,-0.00041566407690032942,-0.00049955611685701523,-0.00091522019375734481
41,22 Utilities,0,-0.00072531501110836383,-0.0013718636159111134,-0.002097178627019477
52,23 Construction,0,-0.00020372125664527404,-0.00019950042995075425,-0.00040322168659602829
65,31-33 Manufacturing,0,-0.0048046861127913247,-0.0022381333256903083,-0.0070428194384816352
395,42 Wholesale Trade,-6.4929957389831543,-0.011914573091455851,-0.0043222264281832252,-6.5092325385027934
396,44-45 Retail trade,0,-0.0016764536615689473,-0.020900168073868811,-0.022576621735437757
408,48-49 Transportation & Warehousing,0,-0.10695722383869243,-0.018766841771301435,-0.12572406560999389
417,51-56 Professional Services,0,-0.19737190157920617,-0.043757920743206141,-0.24112982232241231
472,"61-81 Education, Health, Recreation Service",0,-0.006935770191831247,-0.034307190391470496,-0.041242960583301756
518,92 Government & non NAICs,0,-0.0078904041677719753,-0.0031834029609540764,-0.011073807128726052
