Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-953673.74228339095,-40800.424841976572,-42008.349057449472,-1036482.5161828171
1,"11 Ag, Forestry, Fish & Hunting",0,-21.586752276827234,-617.47113800288446,-639.05789027971196
20,21 Mining,0,-95.330881102714983,-112.39843556522236,-207.72931666793733
41,22 Utilities,0,-553.73028356237728,-1047.3275989236029,-1601.0578824859801
52,23 Construction,0,-17.10781272586804,-18.365516691187853,-35.473329417055893
65,31-33 Manufacturing,0,-729.15253677825501,-439.30353880575848,-1168.4560755840128
395,42 Wholesale Trade,-953673.74228339095,-1749.9804395398824,-634.83698883068814,-956058.55971176154
396,44-45 Retail trade,0,-45.373165389209092,-701.09154321408619,-746.46470860329521
408,48-49 Transportation & Warehousing,0,-12871.871271540269,-2251.4840490997294,-15123.355320639999
417,51-56 Professional Services,0,-23379.078140956968,-33926.822300046428,-57305.900441003403
472,"61-81 Education, Health, Recreation Service",0,-442.96292681172287,-1774.6850328258684,-2217.6479596375902
518,92 Government & non NAICs,0,-894.25063129247997,-484.56291544401972,-1378.8135467364996
